sys,sysname,arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem_size,mem_type,mem_clock,num_cpus,bus_speed,system,executable,PS,no_of_procs,runtime
akm_laptop,Lenovo_Ideapad_500,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,akm_laptop,npb_sp-mz.B.x_4,B,4,52.12
akm_laptop,Lenovo_Ideapad_500,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,akm_laptop,npb_sp-mz.B.x_2,B,2,51.32
akm_laptop,Lenovo_Ideapad_500,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,akm_laptop,npb_sp-mz.B.x_8,B,8,56.81
akm_laptop,Lenovo_Ideapad_500,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,akm_laptop,npb_sp-mz.B.x_3,B,3,57.84
akm_laptop,Lenovo_Ideapad_500,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,akm_laptop,npb_sp-mz.B.x_5,B,5,71.47
akm_laptop,Lenovo_Ideapad_500,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,akm_laptop,npb_sp-mz.B.x_7,B,7,62.75
akm_laptop,Lenovo_Ideapad_500,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,akm_laptop,npb_sp-mz.B.x_6,B,6,60.77
akm_laptop,Lenovo_Ideapad_500,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,akm_laptop,npb_sp-mz.B.x_1,B,1,81.86
akm_desktop,Dell_Optiplex_3040,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,4096,akm_desktop,npb_sp-mz.B.x_6,B,6,43.48
akm_desktop,Dell_Optiplex_3040,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,4096,akm_desktop,npb_sp-mz.B.x_7,B,7,42.89
akm_desktop,Dell_Optiplex_3040,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,4096,akm_desktop,npb_sp-mz.B.x_5,B,5,49.1
akm_desktop,Dell_Optiplex_3040,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,4096,akm_desktop,npb_sp-mz.B.x_2,B,2,46.11
akm_desktop,Dell_Optiplex_3040,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,4096,akm_desktop,npb_sp-mz.B.x_3,B,3,45.06
