system_name,arch,cpu_clock,isa,ld_shared_by_cores,l2_shared_by_cores,l1_size,l2_size,l3_size,no_of_threads,num-cpus,mem_type,mem_clock,mem_size,bus_speed_qpi,bus_speed_dmi,l1_ins_assoc,l1_data_assoc,l2_assoc,l3_assoc,raw_bus_speed,converted_bus_speed,ddr_type,runtime
ASUS RS700-E9(Z11PP-D24) Server System (2.70 GHz- Intel Xeon Gold 6150),Intel Xeon Gold 6150,2.7,X86_64,1,1,32,1024,49152,36,36,PC4-2666V,2666,768,,,,,,,,,,143.290838
ASUS RS700-E9(Z11PP-D24) Server System (2.10 GHz- Intel Xeon Platinum 8176),Intel Xeon Platinum 8176,2.1,X86_64,1,1,32,1024,77824,56,56,PC4-2666V,2666,768,,,,,,,,,,162.18906
ASUS WS C621E SAGE Server System (2.50 GHz- Intel Xeon Platinum 8180),Intel Xeon Platinum 8180,2.5,X86_64,1,1,32,1024,77824,56,56,PC4-2666V,2666,384,,,,,,,,,,137.303633
ASUS WS C621E SAGE Server System (3.00 GHz- Intel Xeon Gold 6154),Intel Xeon Gold 6154,3,X86_64,1,1,32,1024,49152,36,36,PC4-2666V,2666,384,,,,,,,,,,129.137819
ASUS RS720Q-E9(Z11PH-D12) Server System (2.70 GHz- Intel Xeon Gold 6150),Intel Xeon Gold 6150,2.7,X86_64,1,1,32,1024,49152,36,36,PC4-2666V,2666,384,,,,,,,,,,132.973572
ASUS RS720Q-E9(Z11PH-D12) Server System (2.10 GHz- Intel Xeon Platinum 8176),Intel Xeon Platinum 8176,2.1,X86_64,1,1,32,1024,77824,56,56,PC4-2666V,2666,384,,,,,,,,,,151.547248
ASUS RS720Q-E9(Z11PH-D12) Server System (3.50 GHz- Intel Xeon Gold 6144),Intel Xeon Gold 6144,3.5,X86_64,1,1,32,1024,49152,16,16,PC4-2666V,2666,192,,,,,,,,,,157.37203
ASUS RS720Q-E9(Z11PH-D12) Server System (2.40 GHz- Intel Xeon Gold 6148),Intel Xeon Gold 6148,2.4,X86_64,1,1,32,1024,55296,40,40,PC4-2666V,2666,192,,,,,,,,,,142.73341
ASUS RS720Q-E9(Z11PH-D12) Server System (3.40 GHz- Intel Xeon Gold 6128),Intel Xeon Gold 6128,3.4,X86_64,1,1,32,1024,38912,24,12,PC4-2666V,2666,192,,,,,,,,,,179.344969
ASUS RS720Q-E9(Z11PH-D12) Server System (2.00 GHz- Intel Xeon Gold 6138),Intel Xeon Gold 6138,2,X86_64,1,1,32,1024,55296,40,40,PC4-2666V,2666,192,,,,,,,,,,155.067142
ASUS RS720-E9(Z11PP-D24) Server System (2.50 GHz- Intel Xeon Platinum 8180),Intel Xeon Platinum 8180,2.5,X86_64,1,1,32,1024,77824,56,56,PC4-2666V,2666,768,,,,,,,,,,133.607579
ASUS RS720Q-E9(Z11PH-D12) Server System (2.60 GHz- Intel Xeon Gold 6126),Intel Xeon Gold 6126,2.6,X86_64,1,1,32,1024,38912,24,24,PC4-2666V,2666,384,,,,,,,,,,145.167357
ASUS RS720Q-E9(Z11PH-D12) Server System (3.20 GHz- Intel Xeon Gold 6134),Intel Xeon Gold 6134,3.2,X86_64,1,1,32,1024,49152,32,16,PC4-2666V,2666,384,,,,,,,,,,145.712258
ASUS RS720Q-E9(Z11PH-D12) Server System (3.00 GHz- Intel Xeon Gold 6136),Intel Xeon Gold 6136,3,X86_64,1,1,32,1024,49152,24,24,PC4-2666V,2666,384,,,,,,,,,,133.595848
ASUS RS720Q-E9(Z11PH-D12) Server System (3.20 GHz- Intel Xeon Gold 6146),Intel Xeon Gold 6146,3.2,X86_64,1,1,32,1024,49152,24,24,PC4-2666V,2666,384,,,,,,,,,,133.426335
ASUS RS720Q-E9(Z11PH-D12) Server System (2.20 GHz- Intel Xeon Silver 4114),Intel Xeon Silver 4114,2.2,X86_64,1,1,32,1024,26624,20,20,PC4-2666V,2666,384,,,,,,,,,,197.372213
ASUS RS720Q-E9(Z11PH-D12) Server System (2.40 GHz- Intel Xeon Gold 5115),Intel Xeon Gold 5115,2.4,X86_64,1,1,32,1024,26624,20,20,PC4-2666V,2666,384,,,,,,,,,,182.306151
ASUS RS720Q-E9(Z11PH-D12) Server System (2.30 GHz- Intel Xeon Gold 6140),Intel Xeon Gold 6140,2.3,X86_64,1,1,32,1024,49152,36,36,PC4-2666V,2666,384,,,,,,,,,,137.380462
ASUS RS720Q-E9(Z11PH-D12) Server System (2.20 GHz- Intel Xeon Gold 5120),Intel Xeon Gold 5120,2.2,X86_64,1,1,32,1024,38912,28,28,PC4-2666V,2666,384,,,,,,,,,,185.275508
ASUS RS720Q-E9(Z11PH-D12) Server System (2.10 GHz- Intel Xeon Gold 6130T),Intel Xeon Gold 6130T,2.1,X86_64,1,1,32,1024,45056,32,32,PC4-2666V,2666,384,,,,,,,,,,145.403355
ASUS RS720Q-E9(Z11PH-D12) Server System (2.00 GHz- Intel Xeon Platinum 8153),Intel Xeon Platinum 8153,2,X86_64,1,1,32,1024,45056,32,32,PC4-2666V,2666,384,,,,,,,,,,162.84398
ASUS RS720Q-E9(Z11PH-D12) Server System (2.60 GHz- Intel Xeon Gold 6132),Intel Xeon Gold 6132,2.6,X86_64,1,1,32,1024,38912,28,28,PC4-2666V,2666,384,,,,,,,,,,147.33062
ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz- Intel Xeon E-2186G),Intel Xeon E-2186G,3.8,X86_64,1,1,32,256,12288,12,6,PC4-2666V,2666,64,,,,,,,,,,306.024236
ASUS RS300-E10(P11C-C/4L) Server System (3.70 GHz- Intel Xeon E-2176G),Intel Xeon E-2176G,3.7,X86_64,1,1,32,256,12288,12,6,PC4-2666V,2666,64,,,,,,,,,,303.772274
ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz- Intel Xeon E-2136),Intel Xeon E-2136,3.3,X86_64,1,1,32,256,12288,12,6,PC4-2666V,2666,64,,,,,,,,,,305.872904
ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz- Intel Xeon E-2174G),Intel Xeon E-2174G,3.8,X86_64,1,1,32,256,8192,8,4,PC4-2666V,2666,64,,,,,,,,,,400.000336
ASUS RS700-E9(Z11PP-D24) Server System (2.10 GHz- Intel Xeon Silver 4116),Intel Xeon Silver 4116,2.1,X86_64,1,1,32,1024,32768,24,24,PC4-2666V,2666,768,,,,,,,,,,154.333544
ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz- Intel Xeon E-2124),Intel Xeon E-2124,3.3,X86_64,1,1,32,256,8192,4,4,PC4-2666V,2666,64,,,,,,,,,,436.490976
ASUS RS300-E10(P11C-C/4L) Server System (3.40 GHz- Intel Xeon E-2124G),Intel Xeon E-2124G,3.4,X86_64,1,1,32,256,8192,4,4,PC4-2666V,2666,64,,,,,,,,,,426.085731
ASUS RS300-E10(P11C-C/4L) Server System (3.20 GHz- Intel Xeon E-2104G),Intel Xeon E-2104G,3.2,X86_64,1,1,32,256,8192,4,4,PC4-2666V,2666,64,,,,,,,,,,482.985887
ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz- Intel Xeon Platinum 8280L),Intel Xeon Platinum 8280L,2.7,X86_64,1,1,32,1024,77824,56,56,PC4-2933Y,2933,768,,,,,,,,,,93.91628
ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz- Intel Xeon Platinum 8280L),Intel Xeon Platinum 8280L,2.7,X86_64,1,1,32,1024,77824,56,56,PC4-2933Y,2933,768,,,,,,,,,,93.91628
ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz- Intel Xeon E-2126G),Intel Xeon E-2126G,3.3,X86_64,1,1,32,256,12288,6,6,PC4-2666V,2666,64,,,,,,,,,,343.396222
ASUS RS300-E10(P11C-C/4L) Server System (3.50 GHz- Intel Xeon E-2146G),Intel Xeon E-2146G,3.5,X86_64,1,1,32,256,12288,12,6,PC4-2666V,2666,64,,,,,,,,,,311.891854
ASUS ESC8000 G4(Z11PG-D24) Server System (3.60 GHz- Intel Xeon Gold 6244),Intel Xeon Gold 6244,3.6,X86_64,1,1,32,1024,49152,32,16,PC4-2933Y,2933,768,,,,,,,,,,101.36715
ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz- Intel Xeon Platinum 8276M),Intel Xeon Platinum 8276M,2.2,X86_64,1,1,32,1024,77824,56,56,PC4-2933Y,2933,768,,,,,,,,,,100.73391
ASUS RS300-E10(P11C-C/4L) Server System (3.50 GHz- Intel Xeon E-2134),Intel Xeon E-2134,3.5,X86_64,1,1,32,256,8192,8,4,PC4-2666V,2666,64,,,,,,,,,,406.483054
ASUS ESC8000 G4(Z11PG-D24) Server System (1.90 GHz- Intel Xeon Gold 6238T),Intel Xeon Gold 6238T,1.9,X86_64,1,1,32,1024,61440,44,44,PC4-2933Y,2933,768,,,,,,,,,,116.28256
ASUS ESC8000 G4(Z11PG-D24) Server System (3.30 GHz- Intel Xeon Gold 6246),Intel Xeon Gold 6246,3.3,X86_64,1,1,32,1024,49152,24,24,PC4-2933Y,2933,768,,,,,,,,,,103.32588
ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz- Intel Xeon Platinum 8253),Intel Xeon Platinum 8253,2.2,X86_64,1,1,32,1024,45056,32,32,PC4-2933Y,2933,768,,,,,,,,,,125.12279
ASUS RS300-E10(P11C-C/4L) Server System (3.60 GHz- Intel Xeon E-2144G),Intel Xeon E-2144G,3.6,X86_64,1,1,32,256,8192,8,4,PC4-2666V,2666,64,,,,,,,,,,402.382699
ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz- Intel Xeon Gold 6230),Intel Xeon Gold 6230,2.1,X86_64,1,1,32,1024,55296,40,40,PC4-2933Y,2933,768,,,,,,,,,,108.7283
ASUS ESC8000 G4(Z11PG-D24) Server System (2.50 GHz- Intel Xeon Gold 6248),Intel Xeon Gold 6248,2.5,X86_64,1,1,32,1024,55296,40,40,PC4-2933Y,2933,768,,,,,,,,,,97.68032
ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz- Intel Xeon Gold 5220),Intel Xeon Gold 5220,2.2,X86_64,1,1,32,1024,49152,36,36,PC4-2933Y,2933,768,,,,,,,,,,106.60299
ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz- Intel Xeon Gold 6226),Intel Xeon Gold 6226,2.7,X86_64,1,1,32,1024,38912,24,24,PC4-2933Y,2933,768,,,,,,,,,,107.74071
ASUS ESC8000 G4(Z11PG-D24) Server System (3.00 GHz- Intel Xeon Gold 5217),Intel Xeon Gold 5217,3,X86_64,1,1,32,1024,22528,32,16,PC4-2933Y,2933,768,,,,,,,,,,128.04091
ASUS ESC8000 G4(Z11PG-D24) Server System (2.30 GHz- Intel Xeon Gold 5218),Intel Xeon Gold 5218,2.3,X86_64,1,1,32,1024,45056,32,32,PC4-2933Y,2933,768,,,,,,,,,,113.27206
ASUS ESC8000 G4(Z11PG-D24) Server System (2.30 GHz- Intel Xeon Gold 5218B),Intel Xeon Gold 5218B,2.3,X86_64,1,1,32,1024,45056,32,32,PC4-2933Y,2933,768,,,,,,,,,,113.76614
ASUS ESC8000 G4(Z11PG-D24) Server System (2.50 GHz- Intel Xeon Gold 5215),Intel Xeon Gold 5215,2.5,X86_64,1,1,32,1024,26624,20,20,PC4-2933Y,2933,768,,,,,,,,,,137.7037
ASUS RS100-E10(P11C-M/4L) Server System (3.40 GHz- Intel Xeon E-2124G),Intel Xeon E-2124G,3.4,X86_64,1,1,32,256,8192,4,4,PC4-2666V,2666,64,,,,,,,,,,415.580732
ASUS RS100-E10(P11C-M/4L) Server System (3.20 GHz- Intel Xeon E-2104G),Intel Xeon E-2104G,3.2,X86_64,1,1,32,256,8192,4,4,PC4-2666V,2666,64,,,,,,,,,,485.709454
ASUS RS100-E10(P11C-M/4L) Server System (3.30 GHz- Intel Xeon E-2124),Intel Xeon E-2124,3.3,X86_64,1,1,32,256,8192,4,4,PC4-2666V,2666,64,,,,,,,,,,433.125281
ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz- Intel Xeon Silver 4214),Intel Xeon Silver 4214,2.2,X86_64,1,1,32,1024,32768,24,24,PC4-2933Y,2933,768,,,,,,,,,,131.40762
ASUS ESC8000 G4(Z11PG-D24) Server System (2.50 GHz- Intel Xeon Silver 4215),Intel Xeon Silver 4215,2.5,X86_64,1,1,32,1024,22528,32,16,PC4-2933Y,2933,768,,,,,,,,,,139.92481
ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz- Intel Xeon Silver 4208),Intel Xeon Silver 4208,2.1,X86_64,1,1,32,1024,22528,32,16,PC4-2933Y,2933,768,,,,,,,,,,170.1824
ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz- Intel Xeon Silver 4210),Intel Xeon Silver 4210,2.2,X86_64,1,1,32,1024,26624,20,20,PC4-2933Y,2933,768,,,,,,,,,,155.34583
ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz- Intel Xeon Silver 4216),Intel Xeon Silver 4216,2.1,X86_64,1,1,32,1024,45056,32,32,PC4-2933Y,2933,768,,,,,,,,,,114.50851
ASUS RS100-E10(P11C-M/4L) Server System (3.70 GHz- Intel Xeon E-2176G),Intel Xeon E-2176G,3.7,X86_64,1,1,32,256,12288,12,6,PC4-2666V,2666,64,,,,,,,,,,301.07882
ASUS ESC8000 G4(Z11PG-D24) Server System (1.90 GHz- Intel Xeon Bronze 3204),Intel Xeon Bronze 3204,1.9,X86_64,1,1,32,1024,16384,12,12,PC4-2933Y,2933,768,,,,,,,,,,297.65009
ASUS RS100-E10(P11C-M/4L) Server System (3.30 GHz- Intel Xeon E-2126G),Intel Xeon E-2126G,3.3,X86_64,1,1,32,256,12288,6,6,PC4-2666V,2666,64,,,,,,,,,,340.237734
ASUS RS100-E10(P11C-M/4L) Server System (3.50 GHz- Intel Xeon E-2134),Intel Xeon E-2134,3.5,X86_64,1,1,32,256,8192,8,4,PC4-2666V,2666,64,,,,,,,,,,398.647627
ASUS RS100-E10(P11C-M/4L) Server System (3.30 GHz- Intel Xeon E-2136),Intel Xeon E-2136,3.3,X86_64,1,1,32,256,12288,12,6,PC4-2666V,2666,64,,,,,,,,,,301.689969
ASUS RS100-E10(P11C-M/4L) Server System (3.60 GHz- Intel Xeon E-2144G),Intel Xeon E-2144G,3.6,X86_64,1,1,32,256,8192,8,4,PC4-2666V,2666,64,,,,,,,,,,395.177925
