system_name,arch,cpu_clock,isa,ld_shared_by_cores,l2_shared_by_cores,l1_size,l2_size,l3_size,no_of_threads,num-cpus,mem_type,mem_clock,mem_size,bus_speed_qpi,bus_speed_dmi,l1_ins_assoc,l1_data_assoc,l2_assoc,l3_assoc,raw_bus_speed,converted_bus_speed,ddr_type,runtime
ASUS RS700-E9(Z11PP-D24) Server System (2.70 GHz- Intel Xeon Gold 6150),Intel Xeon Gold 6150,2.7,X86_64,1,1,32,1024,49152,36,36,PC4-2666V,2666,768,,,,,,,,,,134.182374
ASUS RS700-E9(Z11PP-D24) Server System (2.10 GHz- Intel Xeon Platinum 8176),Intel Xeon Platinum 8176,2.1,X86_64,1,1,32,1024,77824,56,56,PC4-2666V,2666,768,,,,,,,,,,105.466798
ASUS WS C621E SAGE Server System (2.50 GHz- Intel Xeon Platinum 8180),Intel Xeon Platinum 8180,2.5,X86_64,1,1,32,1024,77824,56,56,PC4-2666V,2666,384,,,,,,,,,,106.293316
ASUS WS C621E SAGE Server System (3.00 GHz- Intel Xeon Gold 6154),Intel Xeon Gold 6154,3,X86_64,1,1,32,1024,49152,36,36,PC4-2666V,2666,384,,,,,,,,,,136.983849
ASUS RS720Q-E9(Z11PH-D12) Server System (2.70 GHz- Intel Xeon Gold 6150),Intel Xeon Gold 6150,2.7,X86_64,1,1,32,1024,49152,36,36,PC4-2666V,2666,384,,,,,,,,,,136.251857
ASUS RS720Q-E9(Z11PH-D12) Server System (2.10 GHz- Intel Xeon Platinum 8176),Intel Xeon Platinum 8176,2.1,X86_64,1,1,32,1024,77824,56,56,PC4-2666V,2666,384,,,,,,,,,,105.098008
ASUS RS720Q-E9(Z11PH-D12) Server System (3.50 GHz- Intel Xeon Gold 6144),Intel Xeon Gold 6144,3.5,X86_64,1,1,32,1024,49152,16,16,PC4-2666V,2666,192,,,,,,,,,,148.626725
ASUS RS720Q-E9(Z11PH-D12) Server System (2.40 GHz- Intel Xeon Gold 6148),Intel Xeon Gold 6148,2.4,X86_64,1,1,32,1024,55296,40,40,PC4-2666V,2666,192,,,,,,,,,,125.075387
ASUS RS720Q-E9(Z11PH-D12) Server System (3.40 GHz- Intel Xeon Gold 6128),Intel Xeon Gold 6128,3.4,X86_64,1,1,32,1024,38912,24,12,PC4-2666V,2666,192,,,,,,,,,,207.280871
ASUS RS720Q-E9(Z11PH-D12) Server System (2.00 GHz- Intel Xeon Gold 6138),Intel Xeon Gold 6138,2,X86_64,1,1,32,1024,55296,40,40,PC4-2666V,2666,192,,,,,,,,,,125.897472
ASUS RS720-E9(Z11PP-D24) Server System (2.50 GHz- Intel Xeon Platinum 8180),Intel Xeon Platinum 8180,2.5,X86_64,1,1,32,1024,77824,56,56,PC4-2666V,2666,768,,,,,,,,,,104.157059
ASUS RS720Q-E9(Z11PH-D12) Server System (2.60 GHz- Intel Xeon Gold 6126),Intel Xeon Gold 6126,2.6,X86_64,1,1,32,1024,38912,24,24,PC4-2666V,2666,384,,,,,,,,,,148.301759
ASUS RS720Q-E9(Z11PH-D12) Server System (3.20 GHz- Intel Xeon Gold 6134),Intel Xeon Gold 6134,3.2,X86_64,1,1,32,1024,49152,32,16,PC4-2666V,2666,384,,,,,,,,,,144.409482
ASUS RS720Q-E9(Z11PH-D12) Server System (3.00 GHz- Intel Xeon Gold 6136),Intel Xeon Gold 6136,3,X86_64,1,1,32,1024,49152,24,24,PC4-2666V,2666,384,,,,,,,,,,134.426749
ASUS RS720Q-E9(Z11PH-D12) Server System (3.20 GHz- Intel Xeon Gold 6146),Intel Xeon Gold 6146,3.2,X86_64,1,1,32,1024,49152,24,24,PC4-2666V,2666,384,,,,,,,,,,134.935529
ASUS RS720Q-E9(Z11PH-D12) Server System (2.20 GHz- Intel Xeon Silver 4114),Intel Xeon Silver 4114,2.2,X86_64,1,1,32,1024,26624,20,20,PC4-2666V,2666,384,,,,,,,,,,207.551554
ASUS RS720Q-E9(Z11PH-D12) Server System (2.40 GHz- Intel Xeon Gold 5115),Intel Xeon Gold 5115,2.4,X86_64,1,1,32,1024,26624,20,20,PC4-2666V,2666,384,,,,,,,,,,202.390025
ASUS RS720Q-E9(Z11PH-D12) Server System (2.30 GHz- Intel Xeon Gold 6140),Intel Xeon Gold 6140,2.3,X86_64,1,1,32,1024,49152,36,36,PC4-2666V,2666,384,,,,,,,,,,138.23265
ASUS RS720Q-E9(Z11PH-D12) Server System (2.20 GHz- Intel Xeon Gold 5120),Intel Xeon Gold 5120,2.2,X86_64,1,1,32,1024,38912,28,28,PC4-2666V,2666,384,,,,,,,,,,158.921266
ASUS RS720Q-E9(Z11PH-D12) Server System (2.10 GHz- Intel Xeon Gold 6130T),Intel Xeon Gold 6130T,2.1,X86_64,1,1,32,1024,45056,32,32,PC4-2666V,2666,384,,,,,,,,,,106.158608
ASUS RS720Q-E9(Z11PH-D12) Server System (2.00 GHz- Intel Xeon Platinum 8153),Intel Xeon Platinum 8153,2,X86_64,1,1,32,1024,45056,32,32,PC4-2666V,2666,384,,,,,,,,,,109.322916
ASUS RS720Q-E9(Z11PH-D12) Server System (2.60 GHz- Intel Xeon Gold 6132),Intel Xeon Gold 6132,2.6,X86_64,1,1,32,1024,38912,28,28,PC4-2666V,2666,384,,,,,,,,,,140.406632
ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz- Intel Xeon E-2186G),Intel Xeon E-2186G,3.8,X86_64,1,1,32,256,12288,12,6,PC4-2666V,2666,64,,,,,,,,,,1086.65503
ASUS RS300-E10(P11C-C/4L) Server System (3.70 GHz- Intel Xeon E-2176G),Intel Xeon E-2176G,3.7,X86_64,1,1,32,256,12288,12,6,PC4-2666V,2666,64,,,,,,,,,,1087.615832
ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz- Intel Xeon E-2136),Intel Xeon E-2136,3.3,X86_64,1,1,32,256,12288,12,6,PC4-2666V,2666,64,,,,,,,,,,1087.817902
ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz- Intel Xeon E-2174G),Intel Xeon E-2174G,3.8,X86_64,1,1,32,256,8192,8,4,PC4-2666V,2666,64,,,,,,,,,,1138.721412
ASUS RS700-E9(Z11PP-D24) Server System (2.10 GHz- Intel Xeon Silver 4116),Intel Xeon Silver 4116,2.1,X86_64,1,1,32,1024,32768,24,24,PC4-2666V,2666,768,,,,,,,,,,183.344071
ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz- Intel Xeon E-2124),Intel Xeon E-2124,3.3,X86_64,1,1,32,256,8192,4,4,PC4-2666V,2666,64,,,,,,,,,,1022.806173
ASUS RS300-E10(P11C-C/4L) Server System (3.40 GHz- Intel Xeon E-2124G),Intel Xeon E-2124G,3.4,X86_64,1,1,32,256,8192,4,4,PC4-2666V,2666,64,,,,,,,,,,1028.717414
ASUS RS300-E10(P11C-C/4L) Server System (3.20 GHz- Intel Xeon E-2104G),Intel Xeon E-2104G,3.2,X86_64,1,1,32,256,8192,4,4,PC4-2666V,2666,64,,,,,,,,,,1042.853415
ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz- Intel Xeon Platinum 8280L),Intel Xeon Platinum 8280L,2.7,X86_64,1,1,32,1024,77824,56,56,PC4-2933Y,2933,768,,,,,,,,,,91.343859
ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz- Intel Xeon Platinum 8280L),Intel Xeon Platinum 8280L,2.7,X86_64,1,1,32,1024,77824,56,56,PC4-2933Y,2933,768,,,,,,,,,,91.343859
ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz- Intel Xeon E-2126G),Intel Xeon E-2126G,3.3,X86_64,1,1,32,256,12288,6,6,PC4-2666V,2666,64,,,,,,,,,,955.967864
ASUS RS300-E10(P11C-C/4L) Server System (3.50 GHz- Intel Xeon E-2146G),Intel Xeon E-2146G,3.5,X86_64,1,1,32,256,12288,12,6,PC4-2666V,2666,64,,,,,,,,,,1085.028921
ASUS ESC8000 G4(Z11PG-D24) Server System (3.60 GHz- Intel Xeon Gold 6244),Intel Xeon Gold 6244,3.6,X86_64,1,1,32,1024,49152,32,16,PC4-2933Y,2933,768,,,,,,,,,,126.24137
ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz- Intel Xeon Platinum 8276M),Intel Xeon Platinum 8276M,2.2,X86_64,1,1,32,1024,77824,56,56,PC4-2933Y,2933,768,,,,,,,,,,100.31483
ASUS RS300-E10(P11C-C/4L) Server System (3.50 GHz- Intel Xeon E-2134),Intel Xeon E-2134,3.5,X86_64,1,1,32,256,8192,8,4,PC4-2666V,2666,64,,,,,,,,,,1139.75903
ASUS ESC8000 G4(Z11PG-D24) Server System (1.90 GHz- Intel Xeon Gold 6238T),Intel Xeon Gold 6238T,1.9,X86_64,1,1,32,1024,61440,44,44,PC4-2933Y,2933,768,,,,,,,,,,110.28589
ASUS ESC8000 G4(Z11PG-D24) Server System (3.30 GHz- Intel Xeon Gold 6246),Intel Xeon Gold 6246,3.3,X86_64,1,1,32,1024,49152,24,24,PC4-2933Y,2933,768,,,,,,,,,,114.61004
