algo,mean_absolute_error_train_rmse,mean_squared_error_train_rmse,median_absolute_error_train_rmse,r2_train_rmse,mean_absolute_error_test_rmse,mean_squared_error_test_rmse,median_absolute_error_test_rmse,r2_test_rmse,mean_absolute_error_train_medae,mean_squared_error_train_medae,median_absolute_error_train_medae,r2_train_medae,mean_absolute_error_test_medae,mean_squared_error_test_medae,median_absolute_error_test_medae,r2_test_medae,mean_absolute_error_train_medape,mean_squared_error_train_medape,median_absolute_error_train_medape,r2_train_medape,mean_absolute_error_test_medape,mean_squared_error_test_medape,median_absolute_error_test_medape,r2_test_medape
603.bwaves_s,0.06654876978144343,0.25228030208124036,0.25228030208124036,0.25228030208124036,0.1586250119759253,0.1973878554679823,0.1973878554679823,0.1973878554679823,0.008951042278028176,0.029250132021908643,0.029250132021908643,0.029250132021908643,0.019493431546701384,0.03279772312485413,0.03279772312485413,0.03279772312485413,1.143885083550621,4.183361926491466,4.183361926491466,4.183361926491466,2.3010010866279518,4.65878135484454,4.65878135484454,4.65878135484454
607.cactuBSSN_s,0.14763450910409198,0.7068258314325175,0.7343527482421974,0.7068258314325175,0.09478029260574965,0.25287612533040044,0.27478991209103854,0.25287612533040044,0.007950318378422139,0.030005025108564676,0.03090317384464658,0.030005025108564676,0.018292303003255225,0.03430856931942011,0.033467397337277355,0.03430856931942011,1.2466576729405605,5.067455129059555,5.505241512986911,5.067455129059555,2.781552133774454,5.889877744900394,5.767260092139411,5.889877744900394
619.lbm_s,0.38094469724278396,0.5304173253467663,0.48664769206563985,0.5304173253467663,0.3884918928153197,0.39058419022234014,0.39246082615228867,0.39058419022234014,0.025528388217301717,0.03979609452361696,0.030110235982274636,0.03979609452361696,0.027650637658294563,0.03654163791831627,0.028106962579934287,0.03654163791831627,5.375505362629556,8.782309135211857,5.932706506604687,8.782309135211857,5.695743178931744,8.310870266654234,5.928920686747181,8.310870266654234
621.wrf_s,0.1335545268017086,0.46178555513701625,0.47884187909929615,0.46178555513701625,0.1798733671370814,0.38170169294550743,0.4191960143075493,0.38170169294550743,0.014099664144726742,0.06240615414765005,0.06706681202137194,0.06240615414765005,0.031591791429449206,0.06820129323072485,0.06652298843150736,0.06820129323072485,1.2984065766039432,5.579048811243976,6.1570573330884635,5.579048811243976,2.564980401748233,5.607962338542139,5.7408214536612565,5.607962338542139
627.cam4_s,0.3505529387379595,0.5728443182886459,0.5846302719390067,0.5728443182886459,0.15746032457737147,0.3282415612583668,0.34838787486481504,0.3282415612583668,0.008604917235344234,0.04251080997261103,0.04027268117765198,0.04251080997261103,0.02342064567904084,0.04276821512763082,0.041169625256986364,0.04276821512763082,1.2397770360788218,6.109585249280681,6.140565315293198,6.109585249280681,3.4075208654324785,6.634073404763013,6.309825744728826,6.634073404763013
628.pop2_s,0.16808370811787124,0.6368996384853931,0.6904688545263973,0.6368996384853931,0.19515271279101917,0.3600862365856865,0.42957521269265364,0.3600862365856865,0.022569420462816958,0.08500790439246253,0.08863549835478826,0.08500790439246253,0.057046425438072645,0.09513916861369903,0.08563401600135159,0.09513916861369903,1.3100434567191537,4.843394640940138,5.268211020883203,4.843394640940138,3.2449793231846202,5.305745071071959,4.911334675629678,5.305745071071959
638.imagick_s,0.08793341004318656,0.6658680354673021,0.6658680354673021,0.6658680354673021,0.1127752264921522,0.43303198184237607,0.43303198184237607,0.43303198184237607,0.004883049363495477,0.022788606995530536,0.022788606995530536,0.022788606995530536,0.01264590570377674,0.02788815830628777,0.02788815830628777,0.02788815830628777,1.2899524394994555,6.9434386287772805,6.9434386287772805,6.9434386287772805,3.2257043610192753,8.262974279805492,8.262974279805492,8.262974279805492
644.nab_s,0.1346088004855993,0.5201401757478326,0.5260406513096357,0.5201401757478326,0.16276324386630464,0.444861569041387,0.45890897869581204,0.444861569041387,0.004779742200374526,0.03257487756206312,0.0324265007865982,0.03257487756206312,0.012653336083161992,0.03409105563736964,0.03234151279147657,0.03409105563736964,0.8794406647947766,5.8095700577754315,6.022138915956666,5.8095700577754315,2.183855709334246,6.223299955164139,6.116977534423144,6.223299955164139
649.fotonik3d_s,0.11885740074998234,0.3163177164953702,0.3184184662622715,0.3163177164953702,0.10412610656168213,0.12636046322100347,0.1218300898354885,0.12636046322100347,0.012357338002410012,0.03707681057369794,0.036015853617053395,0.03707681057369794,0.026539532484805,0.04334164324871217,0.04250481621633709,0.04334164324871217,1.2116072237982738,3.513937055930648,3.5679194441616255,3.513937055930648,2.553275910579319,4.149325490561546,4.350902757592221,4.149325490561546
654.roms_s,0.0764594574149435,0.302558168767064,0.3084834548589351,0.302558168767064,0.07576476900274728,0.16660365002525296,0.17450974379001474,0.16660365002525296,0.006679616988430281,0.0323821929711916,0.03234885619940697,0.0323821929711916,0.015673153557192676,0.038822846713798695,0.03689294504606532,0.038822846713798695,1.3383356540260873,7.0813732436841015,7.351090212627394,7.0813732436841015,3.213071780347677,8.429360237916494,8.4502165900394,8.429360237916494
