feature,mean_importance
feature_12,0.0
feature_39,0.0
feature_36,0.0
feature_35,0.0
feature_8,0.0
feature_9,0.0
feature_31,0.0
feature_40,0.0
feature_14,0.0
feature_15,0.0
feature_18,0.0
feature_17,0.0
feature_33,0.0007130904588335512
feature_32,0.0013239409396072154
feature_38,0.00136168633861648
feature_25,0.0015255117779519906
feature_21,0.0018968949563520575
feature_29,0.005365498841232763
feature_23,0.0061616308223742975
feature_13,0.006325530864436005
feature_30,0.007274478716029101
feature_20,0.008389525871314713
feature_41,0.011920293448854518
feature_37,0.012370478471585396
feature_26,0.013169894046114183
feature_19,0.01437622291488875
feature_7,0.017754690199484214
feature_5,0.019011794487669226
feature_24,0.021488111368561616
feature_27,0.022460348190293602
feature_34,0.024827636236460303
feature_10,0.02740403457731146
feature_3,0.027461351966614617
feature_11,0.03114237274821573
feature_28,0.06575380992028904
feature_4,0.06944630097842337
feature_16,0.07627260381275539
feature_22,0.08845910065079636
feature_6,0.08981786134784783
feature_1,0.5726358788192215
