feature,mean_importance
feature_34,-7.074606873777589e-06
feature_30,-1.1102230246251566e-17
feature_13,-5.551115123125783e-18
feature_25,-2.7755575615628915e-18
feature_28,0.0
feature_31,0.0
feature_33,0.0
feature_10,2.7755575615628915e-18
feature_9,5.551115123125783e-18
feature_39,5.551115123125783e-18
feature_12,5.551115123125783e-18
feature_36,5.551115123125783e-18
feature_27,5.551115123125783e-18
feature_15,5.551115123125783e-18
feature_26,5.551115123125783e-18
feature_17,5.551115123125783e-18
feature_8,5.551115123125783e-18
feature_32,5.551115123125783e-18
feature_37,8.326672684688674e-18
feature_21,8.326672684688674e-18
feature_18,8.326672684688674e-18
feature_14,8.326672684688674e-18
feature_35,8.326672684688674e-18
feature_40,8.326672684688674e-18
feature_23,1.1102230246251566e-17
feature_38,1.1102230246251566e-17
feature_29,1.1102230246251566e-17
feature_19,4.4765910734201333e-05
feature_20,0.0004437981258270135
feature_41,0.0011872363428393567
feature_16,0.001880602776734272
feature_3,0.002180151865220642
feature_24,0.0057956317354586175
feature_22,0.009874067369447579
feature_4,0.018320147394450526
feature_11,0.02043139495971202
feature_5,0.022556938472370856
feature_7,0.24617193423613265
feature_6,0.2957032012246702
feature_1,0.6004629051522544
