feature,shap_importance
feature_1,0.3725502496156234
feature_6,0.26253872984734844
feature_7,0.23904845324944474
feature_11,0.056707331044059194
feature_22,0.04687335297015292
feature_4,0.041616720595180526
feature_5,0.04023827235257685
feature_24,0.00870221486779142
feature_41,0.005892609320930925
feature_16,0.003590675082917573
feature_3,0.0022172881490994923
feature_20,0.0004203543918775867
feature_34,0.0003725066133324473
feature_19,0.00022492607943826748
feature_37,0.0
feature_36,0.0
feature_35,0.0
feature_28,0.0
feature_38,0.0
feature_39,0.0
feature_40,0.0
feature_33,0.0
feature_32,0.0
feature_31,0.0
feature_30,0.0
feature_29,0.0
feature_10,0.0
feature_27,0.0
feature_9,0.0
feature_25,0.0
feature_8,0.0
feature_23,0.0
feature_21,0.0
feature_18,0.0
feature_17,0.0
feature_15,0.0
feature_14,0.0
feature_13,0.0
feature_12,0.0
feature_26,0.0
