feature,mean_importance
feature_27,-0.0017429219446063223
feature_20,-0.0006590083170847014
feature_10,-0.00022441567773179711
feature_18,0.0
feature_22,0.0
feature_17,0.0
feature_15,0.0
feature_14,0.0
feature_13,0.0
feature_12,0.0
feature_40,0.0
feature_8,0.0
feature_35,0.0
feature_36,0.0
feature_30,0.0
feature_31,0.0
feature_39,0.0
feature_9,0.0
feature_29,1.1168267645064733e-07
feature_26,1.0194202719658597e-06
feature_34,6.8873011792904e-06
feature_25,7.669916346612904e-06
feature_21,9.134992862969148e-06
feature_33,1.4645815624813458e-05
feature_32,2.929406299350193e-05
feature_16,0.00014079316416487284
feature_11,0.0005064479950527501
feature_23,0.00113121365940217
feature_38,0.0018560907757406264
feature_37,0.002312063679127052
feature_19,0.0034833613183414282
feature_28,0.005469988715116938
feature_24,0.005532060626017883
feature_41,0.013138100218308895
feature_7,0.03258346088352266
feature_4,0.038038110502323405
feature_3,0.045529534785596196
feature_1,0.11862571199446412
feature_6,0.15883665021292645
feature_5,0.8449097787405038
