feature,mean_importance
feature_31,0.0
feature_39,0.0
feature_40,0.0
feature_8,0.0
feature_9,0.0
feature_36,0.0
feature_35,0.0
feature_12,0.0
feature_14,0.0
feature_15,0.0
feature_18,0.0
feature_17,0.0
feature_33,5.524422239261695e-05
feature_13,0.000734971771694605
feature_25,0.0007760717147617779
feature_38,0.002508851837293094
feature_21,0.0026989315941932366
feature_26,0.0031801188151145076
feature_19,0.0054608459222959035
feature_34,0.007022622232930674
feature_22,0.008811903214925186
feature_29,0.009931797268281178
feature_20,0.01066837018315115
feature_7,0.010966059114643989
feature_23,0.01228405969575871
feature_16,0.014429650034975833
feature_37,0.01663444447447789
feature_32,0.018753946106042634
feature_3,0.019670392389221598
feature_30,0.02136759180549589
feature_41,0.024220053284829356
feature_11,0.02516615145830236
feature_10,0.030460188955438845
feature_24,0.033084440589149805
feature_5,0.04761072183307048
feature_27,0.07262383637809733
feature_6,0.07360503490257994
feature_4,0.0862597758483851
feature_1,0.10235345013904915
feature_28,0.22963144149206757
