feature,shap_importance
feature_5,0.31011433891640944
feature_6,0.1940045466123591
feature_7,0.13945635078911908
feature_1,0.09844113560633849
feature_4,0.06403307830972485
feature_28,0.020315833314758072
feature_3,0.008712737582526732
feature_41,0.0062743195750890645
feature_37,0.005319869559274923
feature_24,0.004708996471861959
feature_23,0.003154341969000293
feature_11,0.00202631510013338
feature_27,0.0017659240319444537
feature_33,0.0009935187448978963
feature_8,8.765640455986113e-05
feature_31,6.417036826284455e-05
feature_36,0.0
feature_35,0.0
feature_34,0.0
feature_32,0.0
feature_30,0.0
feature_38,0.0
feature_39,0.0
feature_29,0.0
feature_40,0.0
feature_10,0.0
feature_26,0.0
feature_25,0.0
feature_9,0.0
feature_21,0.0
feature_20,0.0
feature_19,0.0
feature_18,0.0
feature_17,0.0
feature_16,0.0
feature_15,0.0
feature_14,0.0
feature_13,0.0
feature_12,0.0
feature_22,0.0
