feature,weight
intercept,-0.004831577128372738
feature_1,-0.18119007629479358
feature_3,0.08687480817254355
feature_4,0.09635265012315036
feature_5,-0.1697077436111679
feature_6,791218510368.7451
feature_7,0.07192492476250491
feature_8,10451973141.78605
feature_9,36810696001.37081
feature_10,-245960093918.35162
feature_11,-395534430080.3531
feature_12,-26418624201.551517
feature_13,-163807107012.7394
feature_14,-129572976049.91383
feature_15,-26418624201.567047
feature_16,-459913902488.2862
feature_17,-58033284303.01902
feature_18,5196035899.937614
feature_19,-211699255825.128
feature_20,-61132375039.43432
feature_21,-35427331365.39512
feature_22,-722194703076.3003
feature_23,29485500310.364693
feature_24,-309243812280.1648
feature_25,-38794202703.55211
feature_26,-64591574740.401695
feature_27,62718972455.058426
feature_28,87433527247.33286
feature_29,18089863715.726307
feature_30,22261934484.651024
feature_31,35159843655.93477
feature_32,14658257925.255693
feature_33,-23015399530.866035
feature_34,-298900611503.6716
feature_35,-42225954252.26706
feature_36,14658257925.259167
feature_37,48639303429.078384
feature_38,-22431297975.590282
feature_39,-15867231392.678095
feature_40,-11957095670.78603
feature_41,0.024327017760652665
