feature,shap_importance
feature_6,569875656488.1453
feature_22,404841684826.9038
feature_11,325186713188.10925
feature_16,212249569634.79596
feature_10,212240381673.75046
feature_19,155829881939.7891
feature_34,124175581520.41797
feature_24,96975229707.51663
feature_28,38876439154.38697
feature_13,30818124316.83424
feature_27,20344770603.74998
feature_20,13126712291.85236
feature_37,12712086305.136288
feature_14,10557178972.834213
feature_26,7660942853.401631
feature_25,5745513861.772703
feature_23,5289911982.743471
feature_33,4040827862.412663
feature_21,4027357802.6323876
feature_31,2864708162.522904
feature_38,2305765431.3661704
feature_30,2288356163.156717
feature_32,2255076653.194955
feature_17,2111435794.5671322
feature_29,1896853333.9959974
feature_35,1536314760.3788598
feature_36,1512386737.472424
feature_9,1339290410.558071
feature_40,974224740.6832888
feature_15,961193726.1924765
feature_12,961193726.1919116
feature_39,577300435.8713667
feature_8,380276086.0507303
feature_18,189048342.18409702
feature_1,0.15458569157031446
feature_5,0.12554327253420547
feature_4,0.07574217198508332
feature_7,0.0522382583240023
feature_3,0.025395675519156186
feature_41,0.015690807482854032
