feature,mean_importance
feature_20,-0.0017836377006675349
feature_32,-3.228207902695249e-05
feature_34,-1.733255479559187e-05
feature_16,-1.3657758511677331e-06
feature_13,-2.838325837369038e-07
feature_31,0.0
feature_22,0.0
feature_40,0.0
feature_35,0.0
feature_17,0.0
feature_15,0.0
feature_14,0.0
feature_18,0.0
feature_39,0.0
feature_9,0.0
feature_8,0.0
feature_36,0.0
feature_12,0.0
feature_26,6.052570057532569e-06
feature_30,6.574361499875336e-06
feature_29,1.072445541963618e-05
feature_27,1.7159642205415853e-05
feature_33,3.863260577780178e-05
feature_21,0.00016328915261037345
feature_25,0.0004054801580817426
feature_37,0.0006861632362792927
feature_23,0.000721321623840731
feature_38,0.0013592603136638591
feature_28,0.0018018088180487939
feature_3,0.005103071182583102
feature_11,0.0067246794962599445
feature_10,0.01180749140585757
feature_24,0.034399605351833555
feature_41,0.04050289131862958
feature_19,0.05394973858804353
feature_5,0.07903029926902848
feature_4,0.09595701348717442
feature_7,0.1098402625084074
feature_1,0.17710271753454118
feature_6,0.5203214744885448
