feature,shap_importance
feature_6,0.34519384120912755
feature_7,0.296311815779302
feature_19,0.1236660126626067
feature_1,0.0946988815813354
feature_5,0.08098874454564366
feature_4,0.06454074378807599
feature_24,0.04115563029756261
feature_41,0.012613301587583387
feature_28,0.010833620075178938
feature_10,0.008265562652947365
feature_11,0.0061795483955659385
feature_3,0.005764380448626506
feature_34,0.0017396444856879554
feature_22,0.000693374787401198
feature_23,0.00018714103270296966
feature_33,9.581740065184209e-05
feature_16,0.0
feature_30,0.0
feature_40,0.0
feature_39,0.0
feature_38,0.0
feature_37,0.0
feature_36,0.0
feature_35,0.0
feature_12,0.0
feature_32,0.0
feature_31,0.0
feature_29,0.0
feature_17,0.0
feature_13,0.0
feature_27,0.0
feature_14,0.0
feature_25,0.0
feature_8,0.0
feature_15,0.0
feature_21,0.0
feature_20,0.0
feature_9,0.0
feature_18,0.0
feature_26,0.0
