feature,weight
intercept,0.0013329349434036339
feature_1,-0.4840906346286327
feature_3,0.17213472046087838
feature_4,0.2523789785639927
feature_5,0.07033709943170574
feature_6,-430883278105.0319
feature_7,0.13161814915866507
feature_8,-5691955371.307731
feature_9,-20046438694.886936
feature_10,133945414776.91766
feature_11,215400890654.69675
feature_12,14387104510.100956
feature_13,89206385241.73227
feature_14,70563097225.89287
feature_15,14387104510.034492
feature_16,250460785930.47498
feature_17,31603876112.51322
feature_18,-2829667092.389121
feature_19,115287582541.34396
feature_20,33291584827.809677
feature_21,19293083355.821392
feature_22,393294162122.1452
feature_23,-16057269722.230602
feature_24,168408582234.67175
feature_25,21126620539.434246
feature_26,35175402366.47463
feature_27,-34155617059.55134
feature_28,-47614716216.26512
feature_29,-9851412316.67235
feature_30,-12123446534.609606
feature_31,-19147414391.2024
feature_32,-7982621922.106746
feature_33,12533769959.62498
feature_34,162775862323.88446
feature_35,22995490311.34448
feature_36,-7982621922.101966
feature_37,-26488084178.34762
feature_38,12215678826.035526
feature_39,8641006987.73985
feature_40,6511617854.911848
feature_41,-0.10677899960245028
