feature,mean_importance
feature_36,0.0
feature_40,0.0
feature_15,0.0
feature_14,0.0
feature_31,0.0
feature_12,0.0
feature_35,0.0
feature_17,0.0
feature_18,0.0
feature_8,0.0
feature_39,0.0
feature_9,0.0
feature_5,0.015854716850543883
feature_41,0.017763758077616716
feature_7,0.04031523381883727
feature_3,0.07111810927636535
feature_4,0.12987158580237806
feature_1,0.4494967909414063
feature_33,6.709392758041846e+19
feature_32,1.2820764625401987e+20
feature_29,2.5937983854210528e+20
feature_30,5.887879961231709e+20
feature_21,5.977807914725296e+20
feature_38,5.977807914726948e+20
feature_23,7.26263547920074e+20
feature_25,1.0760054246452407e+21
feature_37,1.5044030635481684e+21
feature_26,1.6571432029181827e+21
feature_27,2.3344185468840318e+21
feature_20,2.391123165882066e+21
feature_28,4.2538293520985846e+21
feature_13,1.6058941744225817e+22
feature_19,2.713924793285601e+22
feature_10,3.8497082970854415e+22
feature_34,4.533545986300968e+22
feature_24,7.036822828057287e+22
feature_11,9.710859169110538e+22
feature_16,1.4393501239146233e+23
feature_22,2.744279403960946e+23
feature_6,3.514133551504026e+23
