feature,shap_importance
feature_6,310343966631.2044
feature_22,220469453109.92233
feature_11,177090797470.0518
feature_16,115587273479.93143
feature_10,115582269882.93039
feature_19,84862132871.08261
feature_34,67623773868.75156
feature_24,52810954652.598595
feature_28,21171405021.767555
feature_13,16782992633.044346
feature_27,11079393789.559078
feature_20,7148569894.308147
feature_37,6922772087.47128
feature_14,5749248562.480232
feature_26,4172010799.520179
feature_25,3128902843.790554
feature_23,2880790307.7674093
feature_33,2200561706.782489
feature_21,2193226156.057598
feature_31,1560068208.3359432
feature_38,1255678114.9443579
feature_30,1246197342.6120126
feature_32,1228073923.9012368
feature_17,1149849712.496009
feature_29,1032991988.8342791
feature_35,836649208.1246654
feature_36,823618439.9811747
feature_9,729353313.7461597
feature_40,530545158.3555945
feature_12,523448703.7506008
feature_15,523448703.74818265
feature_39,314387367.07978284
feature_8,207091472.70220208
feature_18,102952304.99763867
feature_1,0.4130109499762372
feature_4,0.19839342223988002
feature_7,0.09559277119274337
feature_41,0.06887193253435782
feature_5,0.05203268545866783
feature_3,0.05031927665063567
