feature,mean_importance
feature_29,-3.7071311441420896e-05
feature_27,-3.519768149446573e-05
feature_33,-7.598482578807797e-07
feature_18,0.0
feature_32,0.0
feature_31,0.0
feature_30,0.0
feature_36,0.0
feature_22,0.0
feature_40,0.0
feature_17,0.0
feature_15,0.0
feature_35,0.0
feature_13,0.0
feature_12,0.0
feature_39,0.0
feature_38,0.0
feature_8,0.0
feature_9,0.0
feature_14,0.0
feature_23,4.290757391282873e-06
feature_26,4.599669230197223e-06
feature_16,4.681303530204572e-06
feature_37,1.0052169603515237e-05
feature_21,1.5409496255072708e-05
feature_34,4.1725285656998846e-05
feature_28,0.00016006430382614067
feature_19,0.000248906712420971
feature_10,0.000531392933750377
feature_25,0.0005360276260268249
feature_11,0.0022040165861128046
feature_20,0.002921897347254182
feature_4,0.00774120626385358
feature_5,0.008652367409236677
feature_41,0.01203481263451848
feature_3,0.017597075702740238
feature_7,0.060781334246593224
feature_24,0.09629081142479132
feature_1,0.4691703521023746
feature_6,1.2386052413878428
