feature,shap_importance
feature_6,703705826816.7595
feature_22,499915111844.83594
feature_11,401553886832.12854
feature_16,262094471295.3313
feature_10,262083125624.33698
feature_19,192425127595.38504
feature_34,153337099539.86362
feature_24,119748989845.65291
feature_28,48006221089.37613
feature_13,38055483518.91786
feature_27,25122556922.919476
feature_20,16209402562.738316
feature_37,15697405393.755533
feature_14,13036437463.76579
feature_26,9460046351.285812
feature_25,7094796095.524025
feature_23,6532200214.602101
feature_33,4989779927.554143
feature_21,4973146545.428334
feature_31,3537459098.5692096
feature_38,2847253696.2273774
feature_30,2825756018.022512
feature_32,2784661114.586001
feature_17,2607287492.7532945
feature_29,2342312272.077418
feature_35,1897104458.480577
feature_36,1867557154.6929946
feature_9,1653810712.8799765
feature_40,1203012655.2053502
feature_15,1186921424.209185
feature_12,1186921424.2089646
feature_39,712874248.8320104
feature_8,469580503.2319566
feature_18,233444644.3366173
feature_4,0.29270063424008275
feature_5,0.12563634238535062
feature_1,0.11645401350354202
feature_3,0.08485543496323003
feature_41,0.03395026277397699
feature_7,0.010316262123695413
