feature,mean_importance
feature_27,-1.3945163400427147e-05
feature_29,-1.452839809130968e-06
feature_37,-5.158448299652507e-07
feature_13,-4.94613808760258e-07
feature_18,0.0
feature_15,0.0
feature_14,0.0
feature_12,0.0
feature_22,0.0
feature_17,0.0
feature_9,0.0
feature_8,0.0
feature_35,0.0
feature_36,0.0
feature_31,0.0
feature_39,0.0
feature_40,0.0
feature_32,4.566338221964617e-06
feature_30,4.607218171828048e-06
feature_33,1.1491681920743762e-05
feature_26,1.8424332091740438e-05
feature_34,3.207362396822414e-05
feature_16,3.295491083492794e-05
feature_20,4.296879741610485e-05
feature_23,5.2383755562025736e-05
feature_28,6.780949561757815e-05
feature_21,8.111072485612325e-05
feature_25,0.0001307688375953124
feature_38,0.00029982982303311187
feature_11,0.00091267196561153
feature_24,0.011479274980399254
feature_10,0.012742427622968506
feature_41,0.02415865247155407
feature_4,0.026088489411839878
feature_19,0.04604984552754442
feature_5,0.10289726837810424
feature_3,0.13494949111731389
feature_1,0.14331029146988583
feature_6,0.25692495174794383
feature_7,0.3161293466413716
