feature,shap_importance
feature_7,0.354386
feature_6,0.2583775
feature_1,0.15058449
feature_5,0.12920167
feature_3,0.093862474
feature_19,0.085759535
feature_4,0.055135205
feature_41,0.035293218
feature_10,0.02232388
feature_24,0.020538056
feature_11,0.0061415085
feature_20,0.0016262068
feature_21,0.0010786114
feature_16,0.00076051697
feature_38,0.0007583115
feature_27,0.0005937125
feature_28,0.0005824799
feature_25,0.0004963671
feature_23,0.00044208765
feature_37,0.00038096774
feature_34,0.0003591031
feature_33,0.00026937775
feature_29,0.00017652343
feature_26,0.00013703103
feature_32,0.00013289686
feature_36,0.00013281086
feature_40,0.00012969854
feature_8,8.538315e-05
feature_31,8.050283e-05
feature_15,5.4498138e-05
feature_17,2.5530337e-05
feature_13,2.2342098e-05
feature_30,1.9334226e-05
feature_39,1.4660698e-05
feature_14,1.3954278e-05
feature_9,0.0
feature_18,0.0
feature_35,0.0
feature_12,0.0
feature_22,0.0
