feature,mean_importance
feature_31,0.0
feature_39,0.0
feature_36,0.0
feature_40,0.0
feature_8,0.0
feature_9,0.0
feature_18,0.0
feature_35,0.0
feature_12,0.0
feature_17,0.0
feature_14,0.0
feature_15,0.0
feature_38,0.0013052955361795321
feature_26,0.002107796195593889
feature_21,0.002584244957408796
feature_33,0.0025977270718823666
feature_13,0.0029742465748317987
feature_25,0.004047199269878082
feature_20,0.006583343243007034
feature_32,0.0086092689426634
feature_23,0.01071802341164336
feature_29,0.010735289250137897
feature_10,0.01325045908000784
feature_30,0.020391296870740743
feature_37,0.021914858261644174
feature_22,0.0364461349705371
feature_19,0.042424792434583615
feature_7,0.04341285885185003
feature_34,0.04815076442994164
feature_16,0.049938530996196266
feature_41,0.050981021271429464
feature_5,0.05407321072561903
feature_1,0.058577570948840176
feature_24,0.06192025829705157
feature_27,0.06438293760246135
feature_4,0.06932049680370905
feature_3,0.08036671491401276
feature_11,0.0915645997142672
feature_6,0.10769598247181086
feature_28,0.11709852429510179
