feature,mean_importance
feature_34,-1.779667885885572e-05
feature_21,0.0
feature_30,0.0
feature_29,0.0
feature_28,0.0
feature_27,0.0
feature_26,0.0
feature_25,0.0
feature_33,0.0
feature_23,0.0
feature_40,0.0
feature_20,0.0
feature_18,0.0
feature_31,0.0
feature_17,0.0
feature_15,0.0
feature_14,0.0
feature_13,0.0
feature_12,0.0
feature_9,0.0
feature_8,0.0
feature_35,0.0
feature_36,0.0
feature_37,0.0
feature_38,0.0
feature_39,0.0
feature_32,0.0
feature_16,3.3576516618227802e-06
feature_22,1.5147205746121606e-05
feature_10,0.0014372559740903235
feature_11,0.0017485091658006962
feature_41,0.0024977742525783162
feature_4,0.014187705647366721
feature_24,0.02902426392828053
feature_1,0.037741944041901704
feature_5,0.06761036947695358
feature_19,0.06789639630859456
feature_3,0.10605708327941413
feature_6,0.27195286516545913
feature_7,0.39699603651487886
