feature,shap_importance
feature_6,636275750814.0122
feature_22,452012547019.7633
feature_11,363076432081.9048
feature_16,236980212685.9929
feature_10,236969954173.1319
feature_19,173986682887.1991
feature_34,138644124319.04877
feature_24,108274474247.20605
feature_28,43406197878.65908
feature_13,34408953892.119125
feature_27,22715278400.771263
feature_20,14656194950.792614
feature_37,14193258066.18044
feature_14,11787267802.95218
feature_26,8553571486.138489
feature_25,6414962816.158358
feature_23,5906275658.94853
feature_33,4511652239.919742
feature_21,4496612691.709844
feature_31,3198494822.878463
feature_38,2574425867.016453
feature_30,2554988126.373264
feature_32,2517830994.014642
feature_17,2357453560.5907445
feature_29,2117868635.9418416
feature_35,1715321257.3956409
feature_36,1688605217.5298839
feature_9,1495340258.5855734
feature_40,1087738300.9503536
feature_12,1073188954.1997492
feature_15,1073188954.1977966
feature_39,644565641.8161026
feature_8,424584643.0056745
feature_18,211075652.1924687
feature_1,0.4187312507951247
feature_4,0.20924049342916587
feature_7,0.13238548312860746
feature_41,0.12159926482481799
feature_3,0.03939871609984472
feature_5,0.03473151025797065
