feature,shap_importance
feature_6,207612769161.95782
feature_22,147488846561.57742
feature_11,118469552525.5638
feature_16,77325150501.67125
feature_10,77321803213.50052
feature_19,56770758566.923004
feature_34,45238704352.678894
feature_24,35329278853.156235
feature_28,14163168922.811253
feature_13,11227424889.85167
feature_27,7411852243.276079
feature_20,4782224083.204456
feature_37,4631170694.067006
feature_14,3846111228.1750956
feature_26,2790976491.225294
feature_25,2093161954.743619
feature_23,1927180539.8969386
feature_33,1472123703.9500089
feature_21,1467216394.1147337
feature_31,1043648711.2279456
feature_38,840018942.3662341
feature_30,833676530.0422269
feature_32,821552391.8231385
feature_17,769222245.6350279
feature_29,691047194.0226828
feature_35,559698520.3261535
feature_36,550981244.8123969
feature_9,487920106.2213515
feature_40,354922155.2034767
feature_12,350174795.0166179
feature_15,350174795.0151933
feature_39,210317708.37150714
feature_8,138539294.26745486
feature_18,68872655.6013266
feature_4,0.3560084166488694
feature_1,0.3043341704730236
feature_7,0.20176023611079458
feature_5,0.18936548818452176
feature_3,0.0720252497096707
feature_41,0.03712052384221294
