feature,mean_importance
feature_37,-0.00011668937865389056
feature_26,-1.3061347327606928e-05
feature_27,-1.4758415850982254e-06
feature_33,-2.6962089128834685e-07
feature_18,0.0
feature_17,0.0
feature_15,0.0
feature_14,0.0
feature_12,0.0
feature_40,0.0
feature_31,0.0
feature_9,0.0
feature_8,0.0
feature_35,0.0
feature_36,0.0
feature_39,0.0
feature_22,0.0
feature_30,2.4449108152659743e-05
feature_32,2.8246705309977957e-05
feature_13,3.666751409449089e-05
feature_34,5.113917327341753e-05
feature_21,0.00010673666829917917
feature_29,0.00010736163579746529
feature_25,0.00012811400402486413
feature_20,0.0001837784306020933
feature_16,0.00019959474240371054
feature_23,0.00023604539513642845
feature_38,0.0004640636089002996
feature_10,0.000574555722470119
feature_28,0.0007736267705136572
feature_11,0.0009116968655730699
feature_19,0.0020739055262099333
feature_24,0.005712099957332925
feature_41,0.009598409631524502
feature_4,0.011028841135521373
feature_7,0.035015075604696556
feature_3,0.06587748890213027
feature_1,0.2861375796149908
feature_6,0.2947837636510512
feature_5,0.891832391244011
