feature,mean_importance
feature_39,0.0
feature_36,0.0
feature_35,0.0
feature_8,0.0
feature_9,0.0
feature_40,0.0
feature_31,0.0
feature_12,0.0
feature_14,0.0
feature_15,0.0
feature_18,0.0
feature_17,0.0
feature_38,0.0014720266045814404
feature_33,0.0018095116389372958
feature_26,0.002259270837437376
feature_25,0.00371945303040455
feature_13,0.0040114752898721155
feature_32,0.004403218215256026
feature_21,0.005002576658306168
feature_29,0.007137281413156659
feature_23,0.0075485297981733104
feature_20,0.0117338437573695
feature_30,0.012061851431072603
feature_19,0.013263365023983092
feature_41,0.019645541645985677
feature_3,0.024565067021093706
feature_37,0.02640166274652404
feature_24,0.028579342025911458
feature_34,0.031259214779115294
feature_16,0.03306354020976277
feature_22,0.04083213335329908
feature_7,0.04627273363997135
feature_27,0.04758978148685582
feature_11,0.05992641502655007
feature_10,0.06536217996144493
feature_4,0.08399649169102283
feature_6,0.12848138431557737
feature_28,0.13610038320556225
feature_5,0.2097150105534582
feature_1,0.263933734236956
