feature,mean_importance
feature_37,-7.622732290094026e-06
feature_21,-2.7755575615628915e-18
feature_31,0.0
feature_36,0.0
feature_35,0.0
feature_8,0.0
feature_25,2.7755575615628915e-18
feature_24,2.7755575615628915e-18
feature_33,2.7755575615628915e-18
feature_17,2.7755575615628915e-18
feature_16,2.7755575615628915e-18
feature_15,2.7755575615628915e-18
feature_18,2.7755575615628915e-18
feature_38,2.7755575615628915e-18
feature_13,5.551115123125783e-18
feature_12,5.551115123125783e-18
feature_30,5.551115123125783e-18
feature_29,5.551115123125783e-18
feature_20,5.551115123125783e-18
feature_9,8.326672684688674e-18
feature_40,8.326672684688674e-18
feature_22,1.1102230246251566e-17
feature_14,1.1102230246251566e-17
feature_39,1.1102230246251566e-17
feature_34,1.1102230246251566e-17
feature_26,1.3877787807814457e-17
feature_32,1.1686191763868314e-05
feature_27,6.726622953630301e-05
feature_23,0.0001532304703860482
feature_19,0.00025417827707770456
feature_11,0.0008642972532562576
feature_28,0.002466031096512167
feature_10,0.0026124178103177466
feature_41,0.0036258072385197265
feature_4,0.0216205872968736
feature_7,0.022070537392277528
feature_3,0.028056384212539753
feature_1,0.23183825301651684
feature_6,0.3002098083706026
feature_5,0.5721950991776082
