feature,mean_importance
feature_36,0.0
feature_40,0.0
feature_15,0.0
feature_14,0.0
feature_31,0.0
feature_12,0.0
feature_35,0.0
feature_17,0.0
feature_18,0.0
feature_8,0.0
feature_39,0.0
feature_9,0.0
feature_5,0.0021372744190823996
feature_7,0.051738927959548556
feature_41,0.07115868554469644
feature_4,0.09241249161594671
feature_3,0.14323145831946096
feature_1,0.49654169925337593
feature_33,1.827186141841205e+20
feature_32,3.4915117204049684e+20
feature_29,7.063757683434912e+20
feature_30,1.6034614544049782e+21
feature_21,1.6279517646711177e+21
feature_38,1.6279517646752763e+21
feature_23,1.977852151365513e+21
feature_25,2.930313176403997e+21
feature_37,4.09697945639989e+21
feature_26,4.512940596278078e+21
feature_27,6.357381915098893e+21
feature_20,6.511807058680595e+21
feature_28,1.158456260084712e+22
feature_13,4.373372802254571e+22
feature_19,7.3909010116229265e+22
feature_10,1.0484009364499951e+23
feature_34,1.2346322086511571e+23
feature_24,1.9163560127811748e+23
feature_11,2.6445831894216626e+23
feature_16,3.91981911704309e+23
feature_22,7.47356650158899e+23
feature_6,9.570130051150025e+23
