feature,mean_importance
feature_34,-0.00015512896731247338
feature_29,-3.512901875282054e-05
feature_27,-1.8306473570896613e-05
feature_33,-1.2760725409781404e-06
feature_31,0.0
feature_30,0.0
feature_22,0.0
feature_40,0.0
feature_18,0.0
feature_15,0.0
feature_14,0.0
feature_17,0.0
feature_12,0.0
feature_39,0.0
feature_9,0.0
feature_36,0.0
feature_8,0.0
feature_35,0.0
feature_37,5.54848174440202e-06
feature_32,6.320780978173735e-06
feature_13,6.768952256933427e-06
feature_24,5.567211951458782e-05
feature_23,6.489964596041141e-05
feature_38,8.769835946319734e-05
feature_16,0.00016948144401356807
feature_28,0.00017867799882403807
feature_26,0.00018766888403209324
feature_21,0.00023879862212665485
feature_20,0.0021866623287828558
feature_25,0.002210585963546509
feature_19,0.0026358175103582205
feature_10,0.002780739781636002
feature_41,0.012498043133796244
feature_4,0.032020511815443894
feature_11,0.04084332836279384
feature_3,0.05036202012468442
feature_5,0.06552108121302633
feature_6,0.3732396666806458
feature_1,0.49801282948559755
feature_7,0.5605385943043321
