feature,mean_importance
feature_15,0.0
feature_39,0.0
feature_31,0.0
feature_36,0.0
feature_40,0.0
feature_8,0.0
feature_9,0.0
feature_18,0.0
feature_35,0.0
feature_12,0.0
feature_17,0.0
feature_14,0.0
feature_38,0.00030187272304649097
feature_21,0.001772558565437167
feature_33,0.0018706875684056088
feature_25,0.0033197704826772255
feature_32,0.004359506535232635
feature_29,0.005712789929418076
feature_23,0.008183378190755045
feature_13,0.008280296527697533
feature_37,0.009984138946152129
feature_26,0.010693479268132858
feature_20,0.011051905862783387
feature_30,0.014874992815127188
feature_27,0.020594771156027432
feature_7,0.02185437330383616
feature_10,0.024533822902811746
feature_41,0.028583361619818375
feature_19,0.029388903117097243
feature_34,0.03378274588969889
feature_24,0.034563788128482396
feature_3,0.049492878349685035
feature_28,0.051851714831284944
feature_5,0.054658752932123245
feature_22,0.06880546506632679
feature_4,0.07011679638078497
feature_11,0.10149071459875034
feature_6,0.12890058411776842
feature_16,0.1357200700563118
feature_1,0.49372017921379624
