feature,mean_importance
feature_39,2.7755575615628915e-18
feature_21,5.551115123125783e-18
feature_18,5.551115123125783e-18
feature_14,5.551115123125783e-18
feature_13,5.551115123125783e-18
feature_10,5.551115123125783e-18
feature_40,5.551115123125783e-18
feature_29,5.551115123125783e-18
feature_9,8.326672684688674e-18
feature_35,8.326672684688674e-18
feature_33,8.326672684688674e-18
feature_25,8.326672684688674e-18
feature_36,8.326672684688674e-18
feature_15,8.326672684688674e-18
feature_30,8.326672684688674e-18
feature_38,8.326672684688674e-18
feature_23,8.326672684688674e-18
feature_8,8.326672684688674e-18
feature_27,8.326672684688674e-18
feature_32,1.1102230246251566e-17
feature_31,1.1102230246251566e-17
feature_12,1.1102230246251566e-17
feature_37,1.1102230246251566e-17
feature_17,1.3877787807814457e-17
feature_28,6.569786985833048e-05
feature_19,9.784422267070103e-05
feature_26,0.00010104093087159039
feature_16,0.0001884756498145318
feature_34,0.0002390244233943073
feature_20,0.00026367427841355315
feature_41,0.0012313687677062673
feature_22,0.0012977942481280425
feature_24,0.0024825501453796055
feature_3,0.0124788988238683
feature_4,0.019152314917339656
feature_5,0.021947581871443737
feature_11,0.027451033196204244
feature_6,0.30154327429868
feature_7,0.46893543361583356
feature_1,0.5173564275430633
