feature,shap_importance
feature_6,530082182380.1845
feature_22,376572259874.50305
feature_11,302479463098.4561
feature_16,197428533400.46478
feature_10,197419987019.66498
feature_19,144948539138.7932
feature_34,115504606138.4343
feature_24,90203609883.91478
feature_28,36161761737.55981
feature_13,28666145691.101482
feature_27,18924128937.258488
feature_20,12210095693.520798
feature_37,11824422353.338491
feature_14,9819988634.320623
feature_26,7125991890.648574
feature_25,5344314136.011625
feature_23,4920526182.29172
feature_33,3758663539.2204547
feature_21,3746134071.4162164
feature_31,2664670331.806825
feature_38,2144757646.6913388
feature_30,2128564038.8613274
feature_32,2097608381.9949467
feature_17,1963997726.8641574
feature_29,1764399204.4286587
feature_35,1429036442.8321269
feature_36,1406779274.1500263
feature_9,1245769977.3378375
feature_40,906196239.1119624
feature_12,894075158.7983572
feature_15,894075158.7963226
feature_39,536988501.7048807
feature_8,353722036.2112238
feature_18,175847409.26888466
feature_1,0.38138467944769827
feature_41,0.12540472731923058
feature_7,0.10207935217558177
feature_4,0.062299165725120745
feature_5,0.0358534363923383
feature_3,0.02165086328538898
