feature,mean_importance
feature_20,-0.000708317022646257
feature_27,-0.0004675315419740304
feature_29,-4.581023195250264e-05
feature_26,-3.7795787819012995e-05
feature_13,-3.201920059633656e-05
feature_40,0.0
feature_17,0.0
feature_15,0.0
feature_14,0.0
feature_22,0.0
feature_18,0.0
feature_9,0.0
feature_8,0.0
feature_36,0.0
feature_31,0.0
feature_39,0.0
feature_35,0.0
feature_12,0.0
feature_38,5.493679456390621e-06
feature_30,9.170448830435329e-06
feature_33,5.858717979239439e-05
feature_32,7.565463443861692e-05
feature_21,0.00013142788599615138
feature_16,0.00029181374710778306
feature_24,0.00029978943711613594
feature_34,0.0003095115442739903
feature_25,0.000610489799002202
feature_10,0.0006372881788046965
feature_23,0.0007506337331106679
feature_3,0.0011264593076577797
feature_28,0.002192605314854939
feature_19,0.0027072832998624222
feature_37,0.003721737966220446
feature_41,0.011513881656708549
feature_4,0.02199515979016768
feature_11,0.03978981219480142
feature_5,0.29669969337948343
feature_6,0.3162206591217395
feature_1,0.37956728927136296
feature_7,0.4175455718436849
