feature,shap_importance
feature_1,0.34688854
feature_7,0.33745283
feature_5,0.23794615
feature_6,0.17947796
feature_11,0.07052119
feature_41,0.03367886
feature_4,0.032793794
feature_19,0.010594077
feature_37,0.008089478
feature_3,0.0063895974
feature_28,0.005576808
feature_34,0.0043351753
feature_23,0.0042537265
feature_24,0.0036647636
feature_16,0.0030683903
feature_27,0.0030664883
feature_10,0.0022942175
feature_20,0.0015325757
feature_25,0.00138114
feature_36,0.00073743536
feature_8,0.00068507344
feature_38,0.00056595576
feature_21,0.0005079216
feature_15,0.00044458781
feature_33,0.0004269507
feature_14,0.00040154278
feature_12,0.00034504887
feature_32,0.00032011778
feature_26,0.00021430601
feature_13,0.00019136477
feature_29,0.00017982544
feature_40,0.00010471024
feature_31,7.279222e-05
feature_39,7.1031835e-05
feature_17,3.5817706e-05
feature_18,2.6409753e-05
feature_30,2.6043035e-05
feature_35,0.0
feature_9,0.0
feature_22,0.0
