feature,mean_importance
feature_35,0.0
feature_40,0.0
feature_18,0.0
feature_17,0.0
feature_15,0.0
feature_14,0.0
feature_12,0.0
feature_36,0.0
feature_31,0.0
feature_9,0.0
feature_8,0.0
feature_39,0.0
feature_33,0.0011903907725538732
feature_25,0.0022851610197242465
feature_38,0.0024221303609561875
feature_37,0.002837212407084959
feature_3,0.0029694790134185732
feature_29,0.003308792213319879
feature_21,0.004111583718746162
feature_13,0.004778172886146566
feature_23,0.00609060712385154
feature_26,0.006674463653010783
feature_19,0.006714705269916856
feature_32,0.008524596285155357
feature_20,0.010782216516237782
feature_4,0.018194789845845466
feature_34,0.01862648807263233
feature_24,0.019112427618848703
feature_30,0.01992715688951486
feature_10,0.02091061093903699
feature_41,0.02443876892143452
feature_27,0.028862980986520338
feature_7,0.0292911737380169
feature_11,0.03303442186006071
feature_5,0.03432111158822235
feature_22,0.053300504358998954
feature_16,0.06074418979225822
feature_6,0.0800946025004731
feature_28,0.09133749242546715
feature_1,0.2983804789367236
