feature,shap_importance
feature_1,0.2999180862037768
feature_7,0.28928172324677426
feature_6,0.27327203760193486
feature_5,0.10458148103095051
feature_11,0.023479234840612
feature_4,0.02306809364884745
feature_22,0.01737998997637728
feature_24,0.009231349670527276
feature_41,0.005891166183180299
feature_34,0.004774436975964092
feature_16,0.003868123731371678
feature_37,0.0028955182045348887
feature_28,0.0017971886870803869
feature_20,0.0003877367762417947
feature_23,0.00010894995868582395
feature_31,8.956751230467022e-05
feature_39,0.0
feature_38,0.0
feature_36,0.0
feature_35,0.0
feature_33,0.0
feature_32,0.0
feature_40,0.0
feature_30,0.0
feature_29,0.0
feature_9,0.0
feature_27,0.0
feature_26,0.0
feature_10,0.0
feature_3,0.0
feature_21,0.0
feature_19,0.0
feature_18,0.0
feature_17,0.0
feature_15,0.0
feature_14,0.0
feature_13,0.0
feature_12,0.0
feature_8,0.0
feature_25,0.0
