feature,weight
intercept,-1608752211.4258425
feature_1,-0.6427027352290275
feature_3,0.18950699496007894
feature_4,0.21158699124220717
feature_5,-0.25666235586958197
feature_6,663275250044.3186
feature_7,0.3462956365034742
feature_8,891578215658.4497
feature_9,737636899026.7852
feature_10,68917962040.02496
feature_11,233141079731.09695
feature_12,55978388545.83367
feature_13,68917962039.98329
feature_14,170735729701.5109
feature_15,-36997855183.38796
feature_16,105470014814.68184
feature_17,770720602753.8414
feature_18,213684196884.87936
feature_19,128118587553.76917
feature_20,154707774234.3702
feature_21,236027751960.54358
feature_22,126083605497.19536
feature_23,151482227146.25128
feature_24,119196912567.2265
feature_25,503736005318.7375
feature_26,647849794695.6208
feature_27,157637047552.76187
feature_28,117669262428.21092
feature_29,203514618980.88443
feature_30,196959841314.99164
feature_31,300298632888.52844
feature_32,278860439404.6558
feature_33,22894414579.400444
feature_35,78903963935.6437
feature_36,246544138623.75003
feature_37,332701824957.06616
feature_38,99312014365.52295
feature_39,81117209653.56029
feature_40,161316254196.5641
feature_41,-0.12095752492354661
