feature,mean_importance
feature_15,-6.776357403379983e+21
feature_3,-274307481.6
feature_38,0.0
feature_35,0.0
feature_33,0.0
feature_10,0.0
feature_30,0.0
feature_27,0.0
feature_13,0.0
feature_5,1528823808.0
feature_7,1651297484.8
feature_41,2053950668.8
feature_4,2302672896.0
feature_1,15236228710.4
feature_12,4.1932359311693007e+21
feature_19,2.6339024114303923e+22
feature_39,2.6339024114310105e+22
feature_40,3.4822886883485345e+22
feature_24,3.802493870626381e+22
feature_16,4.452784610257598e+22
feature_22,5.1157478360452986e+22
feature_23,5.2678048228599315e+22
feature_28,5.542423869926372e+22
feature_20,5.684791978574609e+22
feature_14,6.289853896751095e+22
feature_18,7.901707234288182e+22
feature_21,9.961342017644523e+22
feature_11,1.065293682809536e+23
feature_29,1.6627271609780192e+23
feature_36,1.692058151898062e+23
feature_32,1.8573268550434102e+23
feature_31,2.3005628087027247e+23
feature_37,2.4903355044110838e+23
feature_26,5.777578370234528e+23
feature_25,7.220169414661115e+23
feature_9,8.737044896245977e+23
feature_6,1.0204757193658161e+24
feature_17,1.0957034031552894e+24
feature_8,1.7960907306219883e+24
