feature,shap_importance
feature_1,0.5066831
feature_7,0.27429697
feature_5,0.16892128
feature_6,0.1296496
feature_41,0.07160691
feature_4,0.0652208
feature_9,0.061213236
feature_3,0.040361006
feature_17,0.009302943
feature_22,0.0062077707
feature_8,0.006040538
feature_18,0.0034029977
feature_31,0.0015691484
feature_32,0.0012172131
feature_14,0.0009136126
feature_23,0.0008378053
feature_37,0.0006470776
feature_26,0.0005772552
feature_38,0.0005428967
feature_11,0.00031731118
feature_25,0.00022971207
feature_12,0.00014631245
feature_36,0.00012197731
feature_10,8.373066e-05
feature_29,4.45416e-05
feature_35,4.279923e-05
feature_21,4.04034e-05
feature_40,4.026216e-05
feature_19,3.190846e-05
feature_27,1.903067e-05
feature_30,6.8329914e-06
feature_28,0.0
feature_20,0.0
feature_33,0.0
feature_16,0.0
feature_15,0.0
feature_13,0.0
feature_39,0.0
feature_24,0.0
