feature,mean_importance
feature_28,-0.0010718563403107617
feature_23,-0.00023173181044115616
feature_35,0.0
feature_33,0.0
feature_38,0.0
feature_30,0.0
feature_27,0.0
feature_10,0.0
feature_13,0.0
feature_15,0.0001270637061380156
feature_12,0.00016729267234845137
feature_39,0.0003488250533113774
feature_19,0.0007013060763990678
feature_40,0.0007153717989936386
feature_16,0.0028443341585960803
feature_21,0.004282431324172516
feature_31,0.0053068154642488315
feature_32,0.00537852181223909
feature_37,0.005933704988310773
feature_18,0.0062657973534580216
feature_36,0.007844993476618935
feature_26,0.008913617740298519
feature_25,0.014150501905178631
feature_17,0.01443257722532768
feature_11,0.015903224876083106
feature_14,0.017113221482741102
feature_29,0.0173163964485407
feature_8,0.01994039924593233
feature_24,0.02256506042809641
feature_9,0.035002728241501975
feature_7,0.037964394995761756
feature_4,0.044648929305782833
feature_3,0.04596770198277946
feature_22,0.04741200334194729
feature_20,0.057500253142576604
feature_41,0.06272324723638792
feature_6,0.09673198030323885
feature_5,0.1075899083237875
feature_1,0.6853877941116341
