feature,mean_importance
feature_36,0.0
feature_24,0.0
feature_23,0.0
feature_27,0.0
feature_28,0.0
feature_35,0.0
feature_16,0.0
feature_15,0.0
feature_25,0.0
feature_13,0.0
feature_14,0.0
feature_11,0.0
feature_10,0.0
feature_30,0.0
feature_31,0.0
feature_39,0.0
feature_32,0.0
feature_33,0.0
feature_12,0.0
feature_26,0.0
feature_29,5.551115123125783e-18
feature_37,5.551115123125783e-18
feature_19,5.551115123125783e-18
feature_38,5.551115123125783e-18
feature_40,5.551115123125783e-18
feature_21,1.1102230246251566e-17
feature_18,0.00011496116751797958
feature_17,0.00017358885242085842
feature_8,0.0011480384982608589
feature_3,0.0024399408338074942
feature_22,0.0026194376156058684
feature_20,0.005526655723273757
feature_9,0.008279588343109648
feature_4,0.017990581247909206
feature_41,0.022938973554804024
feature_5,0.07599342093948953
feature_6,0.18309203263394144
feature_7,0.2831851599594658
feature_1,0.7248289133349635
