feature,shap_importance
feature_8,812383037169.4102
feature_9,599910732896.617
feature_6,581351374662.3052
feature_17,571280686299.7684
feature_26,272618451865.65817
feature_25,208840066544.75058
feature_32,117431278559.36597
feature_20,102382705551.55534
feature_11,97657713018.3722
feature_31,86360090249.2162
feature_37,82821999154.15282
feature_14,73317772725.40402
feature_36,53397317894.51219
feature_22,48403625536.52987
feature_18,43192737467.42904
feature_21,38735557688.107735
feature_29,37779459702.26136
feature_23,23856271094.292164
feature_40,19985658526.774826
feature_30,19853372901.541718
feature_24,18436606721.200436
feature_19,15212694610.853386
feature_28,12629628696.02419
feature_27,11998427598.99717
feature_16,11320264087.539457
feature_39,8706438857.868364
feature_12,6935227723.50609
feature_38,6543973177.64725
feature_15,4215469340.0856123
feature_10,3706548396.4416285
feature_13,3706548396.440486
feature_35,2999606899.7490907
feature_33,870352267.6514671
feature_4,0.28534494730277854
feature_1,0.26494355678895926
feature_5,0.18105867621515645
feature_7,0.13596629051969178
feature_3,0.059306650905254304
feature_41,0.008302325348891736
