feature,mean_importance
feature_29,-9.238351511820509e-05
feature_8,-1.7158761842221704e-05
feature_40,0.0
feature_20,0.0
feature_19,0.0
feature_27,0.0
feature_32,0.0
feature_16,0.0
feature_15,0.0
feature_28,0.0
feature_13,0.0
feature_33,0.0
feature_10,0.0
feature_30,0.0
feature_35,0.0
feature_36,0.0
feature_31,0.0
feature_38,0.0
feature_39,0.0
feature_23,0.0
feature_24,3.112014483885872e-07
feature_11,2.7515436834324447e-05
feature_21,4.524094598937212e-05
feature_14,5.178798575467131e-05
feature_26,8.047309220631932e-05
feature_12,8.612934773076508e-05
feature_37,0.00011127295776965779
feature_22,0.0002998923968213246
feature_18,0.0005524047790639336
feature_25,0.0006691090185352841
feature_9,0.0025863525847962033
feature_17,0.00901753473339249
feature_41,0.012675574866609515
feature_3,0.02320753226680263
feature_4,0.027442010052418853
feature_7,0.15338978885593751
feature_1,0.25929108925991556
feature_5,0.26122704773396327
feature_6,0.5239607482550518
