feature,shap_importance
feature_6,0.33457872
feature_5,0.25354645
feature_1,0.25264552
feature_7,0.17853926
feature_3,0.038822185
feature_4,0.038616017
feature_41,0.029378092
feature_17,0.021898944
feature_9,0.011080568
feature_22,0.007680893
feature_8,0.0038990106
feature_18,0.0012767968
feature_25,0.0011929881
feature_37,0.0010995776
feature_38,0.0009420113
feature_12,0.0008716681
feature_26,0.0008099404
feature_14,0.0006488691
feature_11,0.00055042416
feature_21,0.0002461479
feature_32,0.00018750963
feature_29,0.00017381836
feature_35,0.00014362832
feature_23,0.00013141139
feature_33,7.209423e-05
feature_30,6.402587e-05
feature_40,5.361645e-05
feature_24,5.2312218e-05
feature_36,0.0
feature_39,0.0
feature_15,0.0
feature_31,0.0
feature_16,0.0
feature_27,0.0
feature_10,0.0
feature_20,0.0
feature_19,0.0
feature_13,0.0
feature_28,0.0
