feature,mean_importance
feature_15,-0.006225853408578411
feature_16,-0.0010698060815504812
feature_39,-0.00027070870330115905
feature_27,0.0
feature_33,0.0
feature_35,0.0
feature_13,0.0
feature_10,0.0
feature_30,0.0
feature_38,0.0
feature_12,7.589626790122095e-06
feature_23,0.0015976600462563272
feature_19,0.0021151142762625337
feature_32,0.002252654220582917
feature_40,0.0033403851732651062
feature_17,0.004644055874049899
feature_18,0.005469887391816533
feature_11,0.006438917596274516
feature_24,0.006632275875889363
feature_28,0.010893475816063647
feature_21,0.01099521355820474
feature_14,0.011933463578060782
feature_8,0.014256975575653183
feature_3,0.01487054457830988
feature_36,0.01675454784144335
feature_37,0.02047622375423048
feature_9,0.02122895478411843
feature_31,0.023101411214384183
feature_41,0.028121346333682996
feature_7,0.031946847877569386
feature_20,0.03365100853131978
feature_4,0.04268797282568908
feature_29,0.05692377521782095
feature_26,0.05741123918347981
feature_25,0.0609895451061556
feature_22,0.08910641172691007
feature_6,0.09545387349266941
feature_5,0.17278554792432038
feature_1,0.18070675793734686
