feature,shap_importance
feature_5,0.3626535225168245
feature_6,0.3418347285578105
feature_1,0.15051504459026227
feature_7,0.11673505686706188
feature_4,0.028650946264396415
feature_41,0.012959888697021088
feature_22,0.010261486633066835
feature_3,0.0028405391309362467
feature_11,0.0022071157797886832
feature_9,0.0015955417162912947
feature_20,0.0007171666405450532
feature_26,0.00039845521985538935
feature_17,0.00035331687947816527
feature_8,0.0
feature_32,0.0
feature_30,0.0
feature_31,0.0
feature_33,0.0
feature_28,0.0
feature_35,0.0
feature_36,0.0
feature_37,0.0
feature_38,0.0
feature_39,0.0
feature_40,0.0
feature_29,0.0
feature_24,0.0
feature_27,0.0
feature_25,0.0
feature_23,0.0
feature_19,0.0
feature_18,0.0
feature_16,0.0
feature_15,0.0
feature_14,0.0
feature_13,0.0
feature_12,0.0
feature_10,0.0
feature_21,0.0
