feature,weight
intercept,-1711766109.1781836
feature_1,-0.5804060813389734
feature_3,0.2951474145994028
feature_4,0.34374473484424317
feature_5,-0.2826029625581898
feature_6,705747029292.312
feature_7,0.35244474255686514
feature_8,948669013415.7529
feature_9,784870308593.311
feature_10,73331014494.16655
feature_11,248069899208.8303
feature_12,59562875922.39534
feature_13,73331014494.13306
feature_14,181668521511.74078
feature_15,-39366954193.02747
feature_16,112223620027.90025
feature_17,820072474845.8346
feature_18,227367125711.6028
feature_19,136322458221.0179
feature_20,164614241323.04196
feature_21,251141414918.7481
feature_22,134157169314.14238
feature_23,161182151440.01068
feature_24,126829497918.87483
feature_25,535991941923.91156
feature_26,689333829362.0729
feature_27,167731086014.97113
feature_28,125204027124.77232
feature_29,216546355006.81723
feature_30,209571852543.38153
feature_31,319527779828.1086
feature_32,296716825607.25085
feature_33,24360422125.98449
feature_35,83956454191.91776
feature_36,262331201731.9339
feature_37,354005858937.0163
feature_38,105671301781.28737
feature_39,86311421591.03076
feature_40,171645884824.08673
feature_41,-0.10084039709492842
