feature,mean_importance
feature_15,-7.671968963645995e+21
feature_3,-455501414.4
feature_38,0.0
feature_35,0.0
feature_33,0.0
feature_10,0.0
feature_30,0.0
feature_27,0.0
feature_13,0.0
feature_7,1782579200.0
feature_5,1788870656.0
feature_41,1823263948.8
feature_4,3976619622.4
feature_1,14634346086.4
feature_12,4.747443797034627e+21
feature_39,2.9820176757035563e+22
feature_19,2.9820176757036146e+22
feature_40,3.942532713244138e+22
feature_24,4.305058488407063e+22
feature_16,5.041296274406518e+22
feature_22,5.791881432401267e+22
feature_23,5.964035351406955e+22
feature_28,6.274950003706285e+22
feature_20,6.4361344935418665e+22
feature_14,7.1211656955491175e+22
feature_18,8.94605302710986e+22
feature_21,1.1277903783163516e+23
feature_11,1.2060904679562594e+23
feature_29,1.882485001112138e+23
feature_36,1.9156925842749046e+23
feature_32,2.1028043739451675e+23
feature_31,2.6046215417266083e+23
feature_37,2.8194759457908485e+23
feature_26,6.541184194236472e+23
feature_25,8.174438324922393e+23
feature_9,9.891794851989253e+23
feature_6,1.1553490439013852e+24
feature_17,1.2405193530928254e+24
feature_8,2.0334748480575672e+24
