feature,shap_importance
feature_8,814539402500.3226
feature_9,601503118073.1586
feature_6,582894496431.1962
feature_17,572797076733.5156
feature_26,273342082162.19922
feature_25,209394405395.44946
feature_32,117742984646.60828
feature_20,102654467154.84929
feature_11,97916932742.30548
feature_31,86589321899.85727
feature_37,83041839401.20457
feature_14,73512385236.98677
feature_36,53539054144.27637
feature_22,48532106678.05285
feature_18,43307386982.93781
feature_21,38838376198.39303
feature_29,37879740374.53183
feature_23,23919594469.546043
feature_40,20038707863.33761
feature_30,19906071103.083313
feature_24,18485544300.804913
feature_19,15253074734.203688
feature_28,12663152406.160528
feature_27,12030275867.746445
feature_16,11350312259.270584
feature_39,8729548969.781864
feature_12,6953636385.354315
feature_38,6561343305.086024
feature_15,4226658756.3117466
feature_10,3716386948.0776496
feature_13,3716386948.075951
feature_35,3007568966.9369006
feature_33,872662504.7803297
feature_1,0.4897857730348436
feature_4,0.28806250587334453
feature_7,0.27872941019586384
feature_5,0.21618125328762988
feature_3,0.09089682039294976
feature_41,0.06956016266370507
