feature,shap_importance
feature_1,0.47333404
feature_7,0.3688176
feature_4,0.15238081
feature_6,0.14741434
feature_5,0.12316182
feature_3,0.057132434
feature_41,0.05651634
feature_9,0.03575778
feature_17,0.006697151
feature_26,0.0047986633
feature_22,0.0041435366
feature_37,0.0034743506
feature_18,0.0023594664
feature_25,0.0014345021
feature_8,0.0014203078
feature_24,0.0012414083
feature_32,0.0011129891
feature_21,0.0010718778
feature_14,0.0010041399
feature_36,0.00037309175
feature_23,0.0003397491
feature_16,0.00033506754
feature_38,0.00033428363
feature_13,0.00018818717
feature_10,0.00018778267
feature_12,0.000121978286
feature_29,9.425319e-05
feature_11,7.342073e-05
feature_40,5.466317e-05
feature_19,4.1864714e-05
feature_33,1.4371213e-05
feature_35,1.0786973e-05
feature_27,7.138171e-06
feature_39,0.0
feature_20,0.0
feature_31,0.0
feature_30,0.0
feature_15,0.0
feature_28,0.0
