feature,shap_importance
feature_1,0.38196228279082317
feature_7,0.3526627268940797
feature_6,0.1849056610196816
feature_4,0.1438541751725467
feature_5,0.0889092325961804
feature_41,0.012603378238141406
feature_9,0.011447058726218899
feature_3,0.0095770870340641
feature_22,0.0035290027079198628
feature_20,0.0017882694223981495
feature_24,0.0004614970682451152
feature_8,0.0004496055029808924
feature_14,0.0
feature_28,0.0
feature_40,0.0
feature_39,0.0
feature_38,0.0
feature_37,0.0
feature_36,0.0
feature_35,0.0
feature_33,0.0
feature_32,0.0
feature_31,0.0
feature_30,0.0
feature_29,0.0
feature_27,0.0
feature_15,0.0
feature_26,0.0
feature_25,0.0
feature_10,0.0
feature_23,0.0
feature_11,0.0
feature_12,0.0
feature_13,0.0
feature_19,0.0
feature_18,0.0
feature_17,0.0
feature_16,0.0
feature_21,0.0
