feature,mean_importance
feature_15,-1.7410540467965284e+22
feature_5,-2163422003.2
feature_3,-593913446.4
feature_38,0.0
feature_35,0.0
feature_33,0.0
feature_10,0.0
feature_30,0.0
feature_27,0.0
feature_13,0.0
feature_7,943718400.0
feature_4,4085252096.0
feature_1,7482638336.0
feature_41,11108194713.6
feature_12,1.077370916637183e+22
feature_19,6.767303108897769e+22
feature_39,6.767303108898663e+22
feature_40,8.947067653101564e+22
feature_24,9.7697729728338e+22
feature_16,1.144056932613485e+23
feature_22,1.3143925182993606e+23
feature_23,1.3534606217791686e+23
feature_28,1.424018677497734e+23
feature_20,1.4605974110220791e+23
feature_14,1.616056374955454e+23
feature_18,2.0301909326691065e+23
feature_21,2.5593742772040578e+23
feature_11,2.7370661951194594e+23
feature_29,4.2720560324933574e+23
feature_36,4.347416343933316e+23
feature_32,4.772042329976365e+23
feature_31,5.910851434729924e+23
feature_37,6.398435693009181e+23
feature_26,1.484437080779203e+24
feature_25,1.855082964143599e+24
feature_9,2.2448147977067769e+24
feature_6,2.621915101430043e+24
feature_17,2.81519809330127e+24
feature_8,4.6147079453090186e+24
