feature,shap_importance
feature_8,1227057192784.178
feature_9,906130170312.3807
feature_6,878097342234.0742
feature_17,862886154867.5913
feature_26,411774270192.74164
feature_25,315440739245.4402
feature_32,177373096705.9342
feature_20,154643104934.30542
feature_11,147506279313.26035
feature_31,130441879090.66373
feature_37,125097798862.13808
feature_14,110742219206.25473
feature_36,80653534108.9016
feature_22,73110853075.30724
feature_18,65240110588.867355
feature_21,58507800511.56283
feature_29,57063670271.46967
feature_23,36033505993.9921
feature_40,30187171476.705147
feature_30,29987361755.78248
feature_24,27847419077.843807
feature_19,22977887880.22987
feature_28,19076317481.529263
feature_27,18122925041.30834
feature_16,17098598613.315825
feature_39,13150568063.686298
feature_12,10475256956.83711
feature_38,9884289786.49596
feature_15,6367220557.356752
feature_10,5598525156.438415
feature_13,5598525156.437697
feature_35,4530731260.326356
feature_33,1314616334.18549
feature_41,0.28152396094573334
feature_4,0.1965586314214484
feature_5,0.1729079328730961
feature_1,0.16626415139214698
feature_7,0.09825999389988954
feature_3,0.07863198971809629
