feature,mean_importance
feature_14,-1.6653345369377347e-17
feature_8,-1.1102230246251566e-17
feature_20,-1.1102230246251566e-17
feature_25,-5.551115123125783e-18
feature_30,-5.551115123125783e-18
feature_36,-5.551115123125783e-18
feature_11,-5.551115123125783e-18
feature_24,-5.551115123125783e-18
feature_40,0.0
feature_22,0.0
feature_23,0.0
feature_21,0.0
feature_27,0.0
feature_28,0.0
feature_33,0.0
feature_26,0.0
feature_19,0.0
feature_17,0.0
feature_31,0.0
feature_16,0.0
feature_15,0.0
feature_13,0.0
feature_12,0.0
feature_10,0.0
feature_9,0.0
feature_35,0.0
feature_37,0.0
feature_38,0.0
feature_39,0.0
feature_18,0.0
feature_32,0.0
feature_1,0.013791586933548866
feature_7,0.013925080440155257
feature_29,0.014668089911091026
feature_3,0.029311225863502044
feature_6,0.04300976137702264
feature_4,0.2062917040873066
feature_41,0.5101455514372383
feature_5,0.6233666011442549
