feature,weight
intercept,-1438171495.3848448
feature_1,-0.4685185942401483
feature_3,0.25369938179718987
feature_4,0.30473956562374716
feature_5,-0.29986970377046895
feature_6,592946229653.4033
feature_7,0.2817985907528374
feature_8,797041562127.4684
feature_9,659423094864.3132
feature_10,61610388363.350586
feature_11,208420447159.21185
feature_12,50042835803.242165
feature_13,61610388363.3151
feature_14,152632119450.93533
feature_15,-33074864070.066338
feature_16,94286719761.81119
feature_17,688998836438.765
feature_18,191026634675.33975
feature_19,114533797896.80673
feature_20,138303655117.94388
feature_21,211001037064.56915
feature_22,112714590957.08649
feature_23,135420122249.20073
feature_24,106558114279.62346
feature_25,450323399033.1121
feature_26,579156380583.9855
feature_27,140922328993.71
feature_28,105192445366.02562
feature_29,181935366947.63174
feature_30,176075611585.2141
feature_31,268457087957.758
feature_32,249292049014.97012
feature_33,20466852643.864174
feature_35,70537545185.40355
feature_36,220402340401.47107
feature_37,297424474520.9105
feature_38,88781670163.93031
feature_39,72516113967.5853
feature_40,144211418564.59512
feature_41,-0.027838753383531097
