feature,mean_importance
feature_15,-5.415509768155825e+21
feature_3,-328833433.6
feature_38,0.0
feature_35,0.0
feature_33,0.0
feature_10,0.0
feature_30,0.0
feature_27,0.0
feature_13,0.0
feature_41,423205273.6
feature_7,1200829235.2
feature_5,1597610393.6
feature_4,2964953497.6
feature_1,9928336998.4
feature_12,3.3511381991314644e+21
feature_19,2.1049545335906433e+22
feature_39,2.1049545335919235e+22
feature_40,2.7829654318257403e+22
feature_24,3.0388660859990503e+22
feature_16,3.558563564008418e+22
feature_22,4.088388602959992e+22
feature_23,4.209909067181333e+22
feature_28,4.429378325278325e+22
feature_20,4.5431556597943105e+22
feature_14,5.026707298693759e+22
feature_18,6.314863600769961e+22
feature_21,7.960876587417816e+22
feature_11,8.51358333362699e+22
feature_29,1.3288134975836172e+23
feature_36,1.3522541543233193e+23
feature_32,1.4843331199045204e+23
feature_31,1.838557151158937e+23
feature_37,1.9902191468544896e+23
feature_26,4.6173084207028945e+23
feature_25,5.770194171483586e+23
feature_9,6.98244634452777e+23
feature_6,8.155408425826003e+23
feature_17,8.756610859742065e+23
feature_8,1.4353946105809226e+24
