feature,mean_importance
feature_32,-0.0001603237463892057
feature_12,-2.3072804857804385e-05
feature_36,-3.5624546808207814e-06
feature_37,-2.597056615664256e-06
feature_29,-1.8658624079972986e-06
feature_16,0.0
feature_30,0.0
feature_15,0.0
feature_13,0.0
feature_10,0.0
feature_33,0.0
feature_28,0.0
feature_35,0.0
feature_38,0.0
feature_27,0.0
feature_20,0.0
feature_24,3.268449971262355e-07
feature_26,2.3188755755729208e-06
feature_21,2.3812944071464894e-06
feature_23,1.0990252721662653e-05
feature_40,1.9241660849710767e-05
feature_19,3.345729437849859e-05
feature_39,3.5044424332775215e-05
feature_25,5.2135259132118224e-05
feature_31,5.292741937411791e-05
feature_11,0.0002470044878405984
feature_14,0.00044089838710498696
feature_18,0.002927713526448833
feature_8,0.0048568930105580025
feature_17,0.01006364842573473
feature_41,0.013290057879158124
feature_9,0.016844071037884788
feature_4,0.02025061091163352
feature_22,0.0240553722754236
feature_3,0.055153802847831515
feature_7,0.08795553921754895
feature_5,0.2626057389203279
feature_6,0.3328855274345821
feature_1,0.49191543482157496
