feature,mean_importance
feature_23,-0.0025229645075256976
feature_19,-0.00043871584105338037
feature_27,0.0
feature_13,0.0
feature_33,0.0
feature_35,0.0
feature_10,0.0
feature_30,0.0
feature_38,0.0
feature_39,0.0004542517039185415
feature_12,0.0005008220524909693
feature_28,0.0026011414144955433
feature_16,0.002907667969517154
feature_15,0.0032556293874791073
feature_40,0.0034504089181684504
feature_18,0.006761684683280894
feature_31,0.006786320812918431
feature_21,0.007470912492917092
feature_36,0.007695611039554334
feature_24,0.010790834965892926
feature_32,0.012981216623380632
feature_8,0.01383414337077019
feature_37,0.016683167569680725
feature_11,0.01796480191202419
feature_7,0.019578952224642572
feature_14,0.019867710282620625
feature_41,0.021629732071004736
feature_29,0.02873852994114723
feature_26,0.02958004282733933
feature_17,0.031954671322348895
feature_20,0.03679433565019434
feature_25,0.037000607284467045
feature_3,0.04630684686672231
feature_4,0.04635770619603709
feature_22,0.06886058097254279
feature_9,0.07150267519007672
feature_5,0.09578591482519136
feature_6,0.11838565897054529
feature_1,0.402913420723883
