feature,mean_importance
feature_21,0.0
feature_27,0.0
feature_26,0.0
feature_25,0.0
feature_24,0.0
feature_23,0.0
feature_30,0.0
feature_40,0.0
feature_31,0.0
feature_19,0.0
feature_18,0.0
feature_17,0.0
feature_16,0.0
feature_15,0.0
feature_14,0.0
feature_13,0.0
feature_12,0.0
feature_11,0.0
feature_10,0.0
feature_32,0.0
feature_33,0.0
feature_35,0.0
feature_36,0.0
feature_37,0.0
feature_38,0.0
feature_39,0.0
feature_28,0.0
feature_29,0.0
feature_41,0.0012810930124549757
feature_20,0.0014825255335054605
feature_8,0.0054032386838286425
feature_9,0.010858053234766588
feature_22,0.011641807288383977
feature_4,0.013626360341803178
feature_3,0.016601202105419013
feature_5,0.17878468789914173
feature_7,0.24091823374646698
feature_6,0.24439207880451538
feature_1,0.44526613658958425
