feature,shap_importance
feature_7,0.29967025645663986
feature_1,0.2845083899121498
feature_5,0.21893502127854467
feature_6,0.20943555226890145
feature_4,0.02376992857898717
feature_3,0.02269679948629548
feature_9,0.014822953261722263
feature_8,0.013246731395174368
feature_22,0.01183933710280374
feature_20,0.003960113147375081
feature_41,0.002537431989588212
feature_13,0.0
feature_14,0.0
feature_40,0.0
feature_39,0.0
feature_38,0.0
feature_37,0.0
feature_36,0.0
feature_35,0.0
feature_33,0.0
feature_32,0.0
feature_31,0.0
feature_30,0.0
feature_29,0.0
feature_28,0.0
feature_27,0.0
feature_26,0.0
feature_25,0.0
feature_24,0.0
feature_23,0.0
feature_10,0.0
feature_11,0.0
feature_12,0.0
feature_19,0.0
feature_18,0.0
feature_17,0.0
feature_16,0.0
feature_15,0.0
feature_21,0.0
