sys,sysname,arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem_size,mem_type,mem_clock,num_cpus,bus_speed,system,executable,PS,no_of_procs,runtime
akm_laptop,Lenovo_Ideapad_500,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,akm_laptop,npb_sp.B.x_5,B,5,213.09
akm_laptop,Lenovo_Ideapad_500,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,akm_laptop,npb_sp.B.x_7,B,7,226.04
akm_laptop,Lenovo_Ideapad_500,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,akm_laptop,npb_sp.B.x_8,B,8,230.87
akm_laptop,Lenovo_Ideapad_500,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,akm_laptop,npb_sp.B.x_2,B,2,200.75
akm_laptop,Lenovo_Ideapad_500,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,akm_laptop,npb_sp.B.x_3,B,3,212.6
akm_laptop,Lenovo_Ideapad_500,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,akm_laptop,npb_sp.B.x_1,B,1,204.2
akm_laptop,Lenovo_Ideapad_500,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,akm_laptop,npb_sp.B.x_4,B,4,204.68
akm_laptop,Lenovo_Ideapad_500,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,4096,akm_laptop,npb_sp.B.x_6,B,6,215.44
akm_desktop,Dell_Optiplex_3040,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,4096,akm_desktop,npb_sp.B.x_1,B,1,209.59
akm_desktop,Dell_Optiplex_3040,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,4096,akm_desktop,npb_sp.B.x_3,B,3,205.28
akm_desktop,Dell_Optiplex_3040,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,4096,akm_desktop,npb_sp.B.x_7,B,7,225.04
akm_desktop,Dell_Optiplex_3040,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,4096,akm_desktop,npb_sp.B.x_6,B,6,221.38
akm_desktop,Dell_Optiplex_3040,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,4096,akm_desktop,npb_sp.B.x_5,B,5,215.47
akm_desktop,Dell_Optiplex_3040,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,4096,akm_desktop,npb_sp.B.x_8,B,8,210.86
akm_desktop,Dell_Optiplex_3040,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,4096,akm_desktop,npb_sp.B.x_2,B,2,206.12
akm_desktop,Dell_Optiplex_3040,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,4096,akm_desktop,npb_sp.B.x_4,B,4,212.31
pankaj_laptop,Lenovo_Tecra_A11,IntelCorei7620M_DDR31067_4GB,2.6,X86_64,8,64,1,32,8,64,1,256,16,64,2,4096,4,DDR3,1066,2,1024,pankaj_laptop,npb_sp.B.x_1,B,1,312.86
pankaj_laptop,Lenovo_Tecra_A11,IntelCorei7620M_DDR31067_4GB,2.6,X86_64,8,64,1,32,8,64,1,256,16,64,2,4096,4,DDR3,1066,2,1024,pankaj_laptop,npb_sp.B.x_3,B,3,391.78
pankaj_laptop,Lenovo_Tecra_A11,IntelCorei7620M_DDR31067_4GB,2.6,X86_64,8,64,1,32,8,64,1,256,16,64,2,4096,4,DDR3,1066,2,1024,pankaj_laptop,npb_sp.B.x_7,B,7,299.06
pankaj_laptop,Lenovo_Tecra_A11,IntelCorei7620M_DDR31067_4GB,2.6,X86_64,8,64,1,32,8,64,1,256,16,64,2,4096,4,DDR3,1066,2,1024,pankaj_laptop,npb_sp.B.x_6,B,6,276.45
pankaj_laptop,Lenovo_Tecra_A11,IntelCorei7620M_DDR31067_4GB,2.6,X86_64,8,64,1,32,8,64,1,256,16,64,2,4096,4,DDR3,1066,2,1024,pankaj_laptop,npb_sp.B.x_5,B,5,263.65
pankaj_laptop,Lenovo_Tecra_A11,IntelCorei7620M_DDR31067_4GB,2.6,X86_64,8,64,1,32,8,64,1,256,16,64,2,4096,4,DDR3,1066,2,1024,pankaj_laptop,npb_sp.B.x_8,B,8,316.04
