arch,cpu_clock,isa,l1_size,l2_shared_by_cores,l2_size,l3_size,ld_shared_by_cores,mem_clock,mem_size,mem_type,no_of_threads,num-cpus,system_name,bus_speed_qpi,bus_speed_dmi,l1_ins_assoc,l1_data_assoc,l2_assoc,l3_assoc,raw_bus_speed,converted_bus_speed,ddr_type,runtime
Intel Xeon X3330,2.66,X86_64,32,1,6,0,1,667,8,DDR2,4,4,ACTINA SOLAR E 110 X3 (Intel Xeon X3330- 2.66 GHz),,,8,8,12,0,1333 FSB,10,2,1017.249522
Intel Xeon E5410,2.333,X86_64,32,1,12,0,1,0,16,0,8,8,ACTINA SOLAR 220 S3 (Intel Xeon E5410- 2.33 GHz),,,8,8,24,0,1333 FSB,10,1,1199.695997
Intel Xeon X5650,2.667,X86_64,32,1,256,24576,1,1333,48,PC3-10600R,24,12,ACTINA SOLAR 220 X3 (Intel Xeon X5650),6.4,,4,8,8,16,6.4 QPI,25.6,3,898.453233
Intel Xeon E5-2630,2.3,X86_64,32,1,256,30720,1,1600,128,PC3-12800R,24,12,ACTINA SOLAR 210 X5 (Intel Xeon E5-2630),7.2,5,8,8,8,20,7.2 QPI,28.8,3,799.247336
Intel Xeon E5-2420,1.9,X86_64,32,1,256,30720,1,1600,96,PC3-12800R,24,12,ACTINA SOLAR 205 S5 (Intel Xeon E5-2420),7.2,5,8,8,8,0,7.2 QPI,28.8,3,947.323774
Intel Xeon E3-1231 v3,3.4,X86_64,32,1,256,8192,1,1600,32,PC3-12800U,8,4,ACTINA SOLAR E 110 S6 (Intel Xeon E3-1231 v3- 3.40 GHz),,5,8,8,8,16,5 DMI,2,3,470.202349
Intel Xeon E5-2680 v3,2.5,X86_64,32,1,256,61440,1,2133,256,PC4-2133P,24,24,ACTINA SOLAR 820 X6 (Intel Xeon E5-2680 v3- 2.50 GHz),9.6,5,8,8,8,20,9.6 QPI,38.4,4,580.323238
Intel Xeon E5-2683 v3,2,X86_64,32,1,256,71680,1,2133,256,PC4-2133P,28,28,ACTINA SOLAR 220 X6 (Intel Xeon E5-2683 v3- 2.00 GHz),9.6,5,8,8,8,20,9.6 QPI,38.4,4,654.920665
Intel Xeon E5-2680 v3,2.5,X86_64,32,1,256,61440,1,2400,256,PC4-2400P,24,24,ACTINA SOLAR 222 S6 (Intel Xeon E5-2680 v3- 2.50 GHz),9.6,5,8,8,8,20,9.6 QPI,38.4,4,576.846145
Intel Xeon E5-2683 v3,2,X86_64,32,1,256,71680,1,2400,256,PC4-2400P,28,28,ACTINA SOLAR 222 S6 (Intel Xeon E5-2683 v3- 2.00 GHz),9.6,5,8,8,8,20,9.6 QPI,38.4,4,650.300652
Intel Xeon E5-2670 v3,2.3,X86_64,32,1,256,61440,1,2400,256,PC4-2400P,24,24,ACTINA SOLAR 222 S6 (Intel Xeon E5-2670 v3- 2.30 GHz),9.6,5,8,8,8,20,9.6 QPI,38.4,4,615.507905
Intel Xeon E5-2660 v3,2.6,X86_64,32,1,256,51200,1,2400,256,PC4-2400P,20,20,ACTINA SOLAR 222 S6 (Intel Xeon E5-2660 v3- 2.60 GHz),9.6,5,8,8,8,20,9.6 QPI,38.4,4,560.089279
Intel Xeon E5-2680 v3,2.5,X86_64,32,1,256,61440,1,2133,256,PC4-2133P,24,24,ACTINA SOLAR 220 X6 (Intel Xeon E5-2680 v3- 2.50 GHz),9.6,5,8,8,8,20,9.6 QPI,38.4,4,576.862642
