system_name,arch,cpu_clock,isa,ld_shared_by_cores,l2_shared_by_cores,l1_size,l2_size,l3_size,no_of_threads,num-cpus,mem_type,mem_clock,mem_size,bus_speed_qpi,bus_speed_dmi,l1_ins_assoc,l1_data_assoc,l2_assoc,l3_assoc,raw_bus_speed,converted_bus_speed,ddr_type,runtime
ASUS RS700-E9(Z11PP-D24) Server System (2.70 GHz- Intel Xeon Gold 6150),Intel Xeon Gold 6150,2.7,X86_64,1,1,32,1024,49152,36,36,PC4-2666V,2666,768,,,,,,,,,,177.413889
ASUS RS700-E9(Z11PP-D24) Server System (2.10 GHz- Intel Xeon Platinum 8176),Intel Xeon Platinum 8176,2.1,X86_64,1,1,32,1024,77824,56,56,PC4-2666V,2666,768,,,,,,,,,,204.925556
ASUS WS C621E SAGE Server System (2.50 GHz- Intel Xeon Platinum 8180),Intel Xeon Platinum 8180,2.5,X86_64,1,1,32,1024,77824,56,56,PC4-2666V,2666,384,,,,,,,,,,184.008313
ASUS WS C621E SAGE Server System (3.00 GHz- Intel Xeon Gold 6154),Intel Xeon Gold 6154,3,X86_64,1,1,32,1024,49152,36,36,PC4-2666V,2666,384,,,,,,,,,,162.588964
ASUS RS720Q-E9(Z11PH-D12) Server System (2.70 GHz- Intel Xeon Gold 6150),Intel Xeon Gold 6150,2.7,X86_64,1,1,32,1024,49152,36,36,PC4-2666V,2666,384,,,,,,,,,,180.356243
ASUS RS720Q-E9(Z11PH-D12) Server System (2.10 GHz- Intel Xeon Platinum 8176),Intel Xeon Platinum 8176,2.1,X86_64,1,1,32,1024,77824,56,56,PC4-2666V,2666,384,,,,,,,,,,227.488509
ASUS RS720Q-E9(Z11PH-D12) Server System (3.50 GHz- Intel Xeon Gold 6144),Intel Xeon Gold 6144,3.5,X86_64,1,1,32,1024,49152,16,16,PC4-2666V,2666,192,,,,,,,,,,190.190176
ASUS RS720Q-E9(Z11PH-D12) Server System (2.40 GHz- Intel Xeon Gold 6148),Intel Xeon Gold 6148,2.4,X86_64,1,1,32,1024,55296,40,40,PC4-2666V,2666,192,,,,,,,,,,197.390881
ASUS RS720Q-E9(Z11PH-D12) Server System (3.40 GHz- Intel Xeon Gold 6128),Intel Xeon Gold 6128,3.4,X86_64,1,1,32,1024,38912,24,12,PC4-2666V,2666,192,,,,,,,,,,222.268506
ASUS RS720Q-E9(Z11PH-D12) Server System (2.00 GHz- Intel Xeon Gold 6138),Intel Xeon Gold 6138,2,X86_64,1,1,32,1024,55296,40,40,PC4-2666V,2666,192,,,,,,,,,,205.43195
ASUS RS720-E9(Z11PP-D24) Server System (2.50 GHz- Intel Xeon Platinum 8180),Intel Xeon Platinum 8180,2.5,X86_64,1,1,32,1024,77824,56,56,PC4-2666V,2666,768,,,,,,,,,,221.670746
ASUS RS720Q-E9(Z11PH-D12) Server System (2.60 GHz- Intel Xeon Gold 6126),Intel Xeon Gold 6126,2.6,X86_64,1,1,32,1024,38912,24,24,PC4-2666V,2666,384,,,,,,,,,,189.242482
ASUS RS720Q-E9(Z11PH-D12) Server System (3.20 GHz- Intel Xeon Gold 6134),Intel Xeon Gold 6134,3.2,X86_64,1,1,32,1024,49152,32,16,PC4-2666V,2666,384,,,,,,,,,,194.910944
ASUS RS720Q-E9(Z11PH-D12) Server System (3.00 GHz- Intel Xeon Gold 6136),Intel Xeon Gold 6136,3,X86_64,1,1,32,1024,49152,24,24,PC4-2666V,2666,384,,,,,,,,,,181.795095
ASUS RS720Q-E9(Z11PH-D12) Server System (3.20 GHz- Intel Xeon Gold 6146),Intel Xeon Gold 6146,3.2,X86_64,1,1,32,1024,49152,24,24,PC4-2666V,2666,384,,,,,,,,,,182.2883
ASUS RS720Q-E9(Z11PH-D12) Server System (2.20 GHz- Intel Xeon Silver 4114),Intel Xeon Silver 4114,2.2,X86_64,1,1,32,1024,26624,20,20,PC4-2666V,2666,384,,,,,,,,,,218.652197
ASUS RS720Q-E9(Z11PH-D12) Server System (2.40 GHz- Intel Xeon Gold 5115),Intel Xeon Gold 5115,2.4,X86_64,1,1,32,1024,26624,20,20,PC4-2666V,2666,384,,,,,,,,,,208.148271
ASUS RS720Q-E9(Z11PH-D12) Server System (2.30 GHz- Intel Xeon Gold 6140),Intel Xeon Gold 6140,2.3,X86_64,1,1,32,1024,49152,36,36,PC4-2666V,2666,384,,,,,,,,,,192.056542
ASUS RS720Q-E9(Z11PH-D12) Server System (2.20 GHz- Intel Xeon Gold 5120),Intel Xeon Gold 5120,2.2,X86_64,1,1,32,1024,38912,28,28,PC4-2666V,2666,384,,,,,,,,,,227.678169
ASUS RS720Q-E9(Z11PH-D12) Server System (2.10 GHz- Intel Xeon Gold 6130T),Intel Xeon Gold 6130T,2.1,X86_64,1,1,32,1024,45056,32,32,PC4-2666V,2666,384,,,,,,,,,,187.476087
ASUS RS720Q-E9(Z11PH-D12) Server System (2.00 GHz- Intel Xeon Platinum 8153),Intel Xeon Platinum 8153,2,X86_64,1,1,32,1024,45056,32,32,PC4-2666V,2666,384,,,,,,,,,,204.153643
ASUS RS720Q-E9(Z11PH-D12) Server System (2.60 GHz- Intel Xeon Gold 6132),Intel Xeon Gold 6132,2.6,X86_64,1,1,32,1024,38912,28,28,PC4-2666V,2666,384,,,,,,,,,,197.567032
ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz- Intel Xeon E-2186G),Intel Xeon E-2186G,3.8,X86_64,1,1,32,256,12288,12,6,PC4-2666V,2666,64,,,,,,,,,,378.68207
ASUS RS300-E10(P11C-C/4L) Server System (3.70 GHz- Intel Xeon E-2176G),Intel Xeon E-2176G,3.7,X86_64,1,1,32,256,12288,12,6,PC4-2666V,2666,64,,,,,,,,,,379.384785
ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz- Intel Xeon E-2136),Intel Xeon E-2136,3.3,X86_64,1,1,32,256,12288,12,6,PC4-2666V,2666,64,,,,,,,,,,381.268471
ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz- Intel Xeon E-2174G),Intel Xeon E-2174G,3.8,X86_64,1,1,32,256,8192,8,4,PC4-2666V,2666,64,,,,,,,,,,413.620245
ASUS RS700-E9(Z11PP-D24) Server System (2.10 GHz- Intel Xeon Silver 4116),Intel Xeon Silver 4116,2.1,X86_64,1,1,32,1024,32768,24,24,PC4-2666V,2666,768,,,,,,,,,,232.483117
ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz- Intel Xeon E-2124),Intel Xeon E-2124,3.3,X86_64,1,1,32,256,8192,4,4,PC4-2666V,2666,64,,,,,,,,,,394.904393
ASUS RS300-E10(P11C-C/4L) Server System (3.40 GHz- Intel Xeon E-2124G),Intel Xeon E-2124G,3.4,X86_64,1,1,32,256,8192,4,4,PC4-2666V,2666,64,,,,,,,,,,386.155885
ASUS RS300-E10(P11C-C/4L) Server System (3.20 GHz- Intel Xeon E-2104G),Intel Xeon E-2104G,3.2,X86_64,1,1,32,256,8192,4,4,PC4-2666V,2666,64,,,,,,,,,,448.130945
ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz- Intel Xeon Platinum 8280L),Intel Xeon Platinum 8280L,2.7,X86_64,1,1,32,1024,77824,56,56,PC4-2933Y,2933,768,,,,,,,,,,199.754435
ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz- Intel Xeon Platinum 8280L),Intel Xeon Platinum 8280L,2.7,X86_64,1,1,32,1024,77824,56,56,PC4-2933Y,2933,768,,,,,,,,,,199.754435
ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz- Intel Xeon E-2126G),Intel Xeon E-2126G,3.3,X86_64,1,1,32,256,12288,6,6,PC4-2666V,2666,64,,,,,,,,,,327.650297
ASUS RS300-E10(P11C-C/4L) Server System (3.50 GHz- Intel Xeon E-2146G),Intel Xeon E-2146G,3.5,X86_64,1,1,32,256,12288,12,6,PC4-2666V,2666,64,,,,,,,,,,382.157745
ASUS ESC8000 G4(Z11PG-D24) Server System (3.60 GHz- Intel Xeon Gold 6244),Intel Xeon Gold 6244,3.6,X86_64,1,1,32,1024,49152,32,16,PC4-2933Y,2933,768,,,,,,,,,,174.58424
ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz- Intel Xeon Platinum 8276M),Intel Xeon Platinum 8276M,2.2,X86_64,1,1,32,1024,77824,56,56,PC4-2933Y,2933,768,,,,,,,,,,201.47579
ASUS RS300-E10(P11C-C/4L) Server System (3.50 GHz- Intel Xeon E-2134),Intel Xeon E-2134,3.5,X86_64,1,1,32,256,8192,8,4,PC4-2666V,2666,64,,,,,,,,,,416.337408
ASUS ESC8000 G4(Z11PG-D24) Server System (1.90 GHz- Intel Xeon Gold 6238T),Intel Xeon Gold 6238T,1.9,X86_64,1,1,32,1024,61440,44,44,PC4-2933Y,2933,768,,,,,,,,,,194.97865
ASUS ESC8000 G4(Z11PG-D24) Server System (3.30 GHz- Intel Xeon Gold 6246),Intel Xeon Gold 6246,3.3,X86_64,1,1,32,1024,49152,24,24,PC4-2933Y,2933,768,,,,,,,,,,161.96122
ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz- Intel Xeon Platinum 8253),Intel Xeon Platinum 8253,2.2,X86_64,1,1,32,1024,45056,32,32,PC4-2933Y,2933,768,,,,,,,,,,190.60169
ASUS RS300-E10(P11C-C/4L) Server System (3.60 GHz- Intel Xeon E-2144G),Intel Xeon E-2144G,3.6,X86_64,1,1,32,256,8192,8,4,PC4-2666V,2666,64,,,,,,,,,,414.31207
ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz- Intel Xeon Gold 6230),Intel Xeon Gold 6230,2.1,X86_64,1,1,32,1024,55296,40,40,PC4-2933Y,2933,768,,,,,,,,,,183.33922
ASUS ESC8000 G4(Z11PG-D24) Server System (2.50 GHz- Intel Xeon Gold 6248),Intel Xeon Gold 6248,2.5,X86_64,1,1,32,1024,55296,40,40,PC4-2933Y,2933,768,,,,,,,,,,175.02996
ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz- Intel Xeon Gold 5220),Intel Xeon Gold 5220,2.2,X86_64,1,1,32,1024,49152,36,36,PC4-2933Y,2933,768,,,,,,,,,,177.86255
ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz- Intel Xeon Gold 6226),Intel Xeon Gold 6226,2.7,X86_64,1,1,32,1024,38912,24,24,PC4-2933Y,2933,768,,,,,,,,,,173.22052
ASUS ESC8000 G4(Z11PG-D24) Server System (3.00 GHz- Intel Xeon Gold 5217),Intel Xeon Gold 5217,3,X86_64,1,1,32,1024,22528,32,16,PC4-2933Y,2933,768,,,,,,,,,,204.66828
ASUS ESC8000 G4(Z11PG-D24) Server System (2.30 GHz- Intel Xeon Gold 5218),Intel Xeon Gold 5218,2.3,X86_64,1,1,32,1024,45056,32,32,PC4-2933Y,2933,768,,,,,,,,,,182.40895
ASUS ESC8000 G4(Z11PG-D24) Server System (2.30 GHz- Intel Xeon Gold 5218B),Intel Xeon Gold 5218B,2.3,X86_64,1,1,32,1024,45056,32,32,PC4-2933Y,2933,768,,,,,,,,,,180.01478
ASUS ESC8000 G4(Z11PG-D24) Server System (2.50 GHz- Intel Xeon Gold 5215),Intel Xeon Gold 5215,2.5,X86_64,1,1,32,1024,26624,20,20,PC4-2933Y,2933,768,,,,,,,,,,180.84049
ASUS RS100-E10(P11C-M/4L) Server System (3.40 GHz- Intel Xeon E-2124G),Intel Xeon E-2124G,3.4,X86_64,1,1,32,256,8192,4,4,PC4-2666V,2666,64,,,,,,,,,,379.179057
ASUS RS100-E10(P11C-M/4L) Server System (3.20 GHz- Intel Xeon E-2104G),Intel Xeon E-2104G,3.2,X86_64,1,1,32,256,8192,4,4,PC4-2666V,2666,64,,,,,,,,,,439.622338
ASUS RS100-E10(P11C-M/4L) Server System (3.30 GHz- Intel Xeon E-2124),Intel Xeon E-2124,3.3,X86_64,1,1,32,256,8192,4,4,PC4-2666V,2666,64,,,,,,,,,,386.65275
ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz- Intel Xeon Silver 4214),Intel Xeon Silver 4214,2.2,X86_64,1,1,32,1024,32768,24,24,PC4-2933Y,2933,768,,,,,,,,,,193.60984
ASUS ESC8000 G4(Z11PG-D24) Server System (2.50 GHz- Intel Xeon Silver 4215),Intel Xeon Silver 4215,2.5,X86_64,1,1,32,1024,22528,32,16,PC4-2933Y,2933,768,,,,,,,,,,217.98223
ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz- Intel Xeon Silver 4208),Intel Xeon Silver 4208,2.1,X86_64,1,1,32,1024,22528,32,16,PC4-2933Y,2933,768,,,,,,,,,,254.4435
ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz- Intel Xeon Silver 4210),Intel Xeon Silver 4210,2.2,X86_64,1,1,32,1024,26624,20,20,PC4-2933Y,2933,768,,,,,,,,,,204.32542
ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz- Intel Xeon Silver 4216),Intel Xeon Silver 4216,2.1,X86_64,1,1,32,1024,45056,32,32,PC4-2933Y,2933,768,,,,,,,,,,182.87033
ASUS RS100-E10(P11C-M/4L) Server System (3.70 GHz- Intel Xeon E-2176G),Intel Xeon E-2176G,3.7,X86_64,1,1,32,256,12288,12,6,PC4-2666V,2666,64,,,,,,,,,,372.143833
ASUS ESC8000 G4(Z11PG-D24) Server System (1.90 GHz- Intel Xeon Bronze 3204),Intel Xeon Bronze 3204,1.9,X86_64,1,1,32,1024,16384,12,12,PC4-2933Y,2933,768,,,,,,,,,,333.20218
ASUS RS100-E10(P11C-M/4L) Server System (3.30 GHz- Intel Xeon E-2126G),Intel Xeon E-2126G,3.3,X86_64,1,1,32,256,12288,6,6,PC4-2666V,2666,64,,,,,,,,,,318.934506
ASUS RS100-E10(P11C-M/4L) Server System (3.50 GHz- Intel Xeon E-2134),Intel Xeon E-2134,3.5,X86_64,1,1,32,256,8192,8,4,PC4-2666V,2666,64,,,,,,,,,,412.177662
ASUS RS100-E10(P11C-M/4L) Server System (3.30 GHz- Intel Xeon E-2136),Intel Xeon E-2136,3.3,X86_64,1,1,32,256,12288,12,6,PC4-2666V,2666,64,,,,,,,,,,372.644674
ASUS RS100-E10(P11C-M/4L) Server System (3.60 GHz- Intel Xeon E-2144G),Intel Xeon E-2144G,3.6,X86_64,1,1,32,256,8192,8,4,PC4-2666V,2666,64,,,,,,,,,,406.824202
ASUS RS100-E10(P11C-M/4L) Server System (3.50 GHz- Intel Xeon E-2146G),Intel Xeon E-2146G,3.5,X86_64,1,1,32,256,12288,12,6,PC4-2666V,2666,64,,,,,,,,,,373.854753
ASUS RS100-E10(P11C-M/4L) Server System (3.80 GHz- Intel Xeon E-2174G),Intel Xeon E-2174G,3.8,X86_64,1,1,32,256,8192,8,4,PC4-2666V,2666,64,,,,,,,,,,405.331297
ASUS RS500A-E10(KRPA-U16) Server System 2.25 GHz- AMD EPYC 7742,AMD EPYC 7742,2.25,X86_64,1,1,32,512,262144,128,64,PC4-3200AA,3200,256,,,,,,,,,,168.96168
ASUS ESC8000 G4(Z11PG-D24) Server System (2.60 GHz- Intel Xeon Gold 6240M),Intel Xeon Gold 6240M,2.6,X86_64,1,1,32,1024,49152,36,36,PC4-2933Y,2933,768,,,,,,,,,,172.10829
ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz- Intel Xeon Gold 6252),Intel Xeon Gold 6252,2.1,X86_64,1,1,32,1024,71680,48,48,PC4-2933Y,2933,768,,,,,,,,,,195.2035
ASUS ESC8000 G4(Z11PG-D24) Server System (3.80 GHz- Intel Xeon Platinum 8256),Intel Xeon Platinum 8256,3.8,X86_64,1,1,32,1024,32768,16,8,PC4-2933Y,2933,768,,,,,,,,,,237.72565
